,wdsp,prcp,temp,sndp,total_num_of_crimes
1795,5.5,0,76.8,0,0.72406639
373,8.4,0,14.5,3.1,0.483760684
253,3.9,0,69.1,0,0.723104056
714,6.1,0,37.9,0,0.001184965
569,8,0,80,0,0.567521368
1476,6.7,0,76.6,0,0.754455446
1095,7.8,0.52,47.7,0,0.67047619
73,13.9,0.04,39.7,0,0.597883598
1578,7.7,0.52,73.2,0,0.627722772
1349,11.2,0.02,10.5,2,0.558095238
820,9.6,0,80.6,0,0.001464475
654,7.1,0,36.3,0,0.541880342
444,8.4,0.2,67.8,0,0.625641026
124,6.7,0.08,49.7,0,0.700176367
1191,6.7,0,69.2,0,0.796190476
747,8.1,0.05,45.1,0,0.001582577
1625,9.3,0,32.3,0,0.655445545
773,7.9,0.05,46.7,0,0.001299131
137,7,0,67.4,0,0.675485009
1871,9.5,0.5,68.8,0,0.717842324
1566,4.3,0,66.9,0,0.617821782
1052,8,0.08,59.7,0,0.632380952
257,11.5,0,56.9,0,0.661375661
789,8.7,0,47.3,0,0.001413297
215,10.1,0,78.3,0,0.64021164
185,3.8,0,73.1,0,0.677248677
46,14.5,0,12,0,0.546737213
1550,12.8,0,83.1,0,0.76039604
657,9.4,0,41.9,0,0.576068376
1845,11.8,0,69.6,0,0.709543568
1243,5.3,0,63.5,0,0.613333333
905,9.4,0.21,77.3,0,0.00154321
649,10.1,0,42.1,0,0.569230769
1123,6.1,0.03,55.4,0,0.615238095
1440,11.3,0,71.1,0,0.756435644
1601,7.7,0,48.6,0,0.687128713
666,14.7,0.09,34.9,0,0.588034188
490,10.7,0.48,63.1,0,0.625641026
1644,5.2,0,34.3,0,0.625742574
911,9.3,0.01,71.6,0,0.001389676
830,7.2,0,79.5,0,0.001440854
891,6.6,0.36,77.9,0,0.001519589
915,3.6,0.03,72,0,0.001330625
635,16.4,0.01,43.3,0,0.502564103
1745,11.5,0.29,54.1,0,0.804979253
755,9.7,0.12,49.3,0,0.001244016
913,9.6,0,74.1,0,0.001452664
1071,8,0.03,39,1.2,0.613333333
1756,6.9,0,71.4,0,0.778008299
1085,5.6,0,44.2,0,0.723809524
239,9.9,0.01,53.3,0,0.647266314
1808,12.2,0,71.9,0,0.744813278
1918,6.2,0,34.2,0,0.68879668
1911,9.2,0,39.1,0,0.647302905
726,7.9,0,50.1,0,0.001236143
411,9.4,0,50.1,0,0.579487179
47,7.6,0,13.7,0,0.553791887
620,15.2,0.06,42.2,0,0.533333333
184,6,0,72.1,0,0.71957672
511,4.3,0,71.5,0,0.579487179
624,8.9,0,60.3,0,0.687179487
1715,7.8,0.4,39.9,1.2,0.686721992
1276,13.7,0.99,59.5,0,0.582857143
803,10.7,0,74.9,0,0.001492032
439,5.2,0,52.3,0,0.615384615
1896,4.8,0,49.2,0,0.67219917
1289,11,0.51,47.8,0,0.651428571
1653,7.2,0.04,31.3,0,0.63960396
1184,8.4,0.17,78.2,0,0.697142857
661,4.2,0,55.3,0,0.55042735
1604,7.3,0,48.9,0,0.75049505
1205,3.5,0,76.8,0,0.761904762
126,9.7,0,62.7,0,0.693121693
169,6.9,0.17,64.7,0,0.746031746
1667,10.9,0,26.4,3.1,0.657676349
776,12.7,0.38,49.8,0,0.001401487
1944,3.7,0,31.3,0,0.643153527
736,4.8,0,40.1,0,0.001267637
1859,7.9,0,81.6,0,0.746887967
833,10.4,0,69.3,0,0.001432981
541,4.8,0,77.8,0,0.639316239
64,9.4,0,38.6,0,0.703703704
783,9.2,0,57.2,0,0.001480222
177,5.3,0,73.5,0,0.761904762
1120,8.5,0,48,0,0.577142857
853,5.7,0.78,78.8,0,0.001452664
1093,13.5,0,64.8,0,0.697142857
21,8.9,0,8.3,3.1,0.603174603
166,11,0.2,78.7,0,0.693121693
1539,5.1,0.18,75.7,0,0.756435644
1647,5.8,0,36.9,0,0.627722772
502,7.7,0,62.6,0,0.733333333
1166,10.1,0,79.3,0,0.727619048
750,8.5,0,36.1,0,0.001299131
543,4.4,0,72.7,0,0.635897436
1751,6.2,0,70.9,0,0.767634855
1412,10.5,0.09,35.6,0,0.631683168
705,10.4,0,21,0,0.001137724
248,11.4,0.12,65.4,0,0.680776014
1508,7.3,0.17,77,0,0.685148515
1321,6.6,0,38.9,0,0.592380952
937,5.6,0,59.8,0,0.001373929
1104,10.9,0.06,58.4,0,0.681904762
1127,6.2,0,63.3,0,0.668571429
1259,5.7,0,82.3,0,0.662857143
1,8.7,0.01,7.2,9.1,0.48324515
459,10.5,0,51.4,0,0.61025641
1467,7.1,0.01,63.5,0,0.752475248
287,17.2,0,43,0,0.716049383
1181,9.1,0,81.5,0,0.683809524
964,3.5,0,58.3,0,0.001318815
225,8.3,0.02,77.7,0,0.731922399
207,7,1.16,75.1,0,0.701940035
471,15.6,0.77,48.7,0,0.524786325
1690,10.7,0.15,47.1,0,0.659751037
199,4.7,0,76.8,0,0.731922399
1630,5.6,0,31,2,0.621782178
1218,4.8,0,74,0,0.699047619
232,11.4,0.22,81.1,0,0.687830688
430,14.1,0.42,50.8,0,0.61025641
1215,8.5,0,74,0,0.651428571
574,6.8,0.13,60.3,0,0.615384615
1860,6.3,0.37,74.2,0,0.825726141
1167,10.4,0.02,76.7,0,0.634285714
347,11.6,0,8,2,0.509401709
560,5.6,0.22,70.8,0,0.611965812
1119,12.3,0.07,50.5,0,0.634285714
458,12.9,0,74.6,0,0.634188034
668,10.7,0,25.3,0,0.514529915
850,8.5,0,72.6,0,0.001456601
168,9.3,0.03,69.2,0,0.705467372
1363,13.8,0,48.5,0,0.621782178
27,8.7,0.01,7.3,9.1,0.553791887
895,6.2,0,78.4,0,0.001649502
1939,9.6,0,30.1,0,0.641078838
367,9.2,0,29.7,0,0.582905983
83,6.4,0,44.7,0,0.574955908
667,11,0,29.8,0,0.51965812
1877,9,0.73,64.1,0,0.676348548
245,4.3,0,62.3,0,0.735449735
1645,6.4,0.36,40.6,0,0.689108911
1546,8.8,0,69.2,0,0.685148515
1921,4.2,0.03,42.5,0,0.730290456
260,13.5,0.1,44.5,0,0.589065256
1106,11.1,0,50.3,0,0.617142857
1092,9.2,0,51.2,0,0.594285714
1251,7.8,0,77.8,0,0.697142857
144,5,0,73.5,0,0.754850088
1560,9.7,0.46,68.9,0,0.665346535
1822,5.7,0,80.1,0,0.769709544
847,12.1,0,82.9,0,0.001432981
1164,8.8,0.23,66.6,0,0.712380952
435,13.1,0.29,45.9,0,0.567521368
825,11.5,0,84.6,0,0.001669186
1253,7.5,0,69.2,0,0.699047619
553,7.8,0,75.3,0,0.699145299
308,6.9,0,22.9,0,0.610229277
841,7.6,0,79.1,0,0.001393613
1117,11.9,0,48.9,0,0.638095238
1458,4.1,0,83.4,0,0.84950495
963,6.2,0,56.1,0,0.001330625
1177,6.6,0,75.2,0,0.826666667
1490,8.4,0,83.5,0,0.700990099
923,12.7,0.03,67.8,0,0.001436917
301,7.5,0,27.9,0,0.624338624
1683,9.4,0,21.5,0,0.628630705
1606,10.4,0.14,47.7,0,0.621782178
1538,4.5,0.13,77.3,0,0.758415842
125,7.7,0,58.1,0,0.721340388
962,4.6,0,54.9,0,0.001488095
1844,9.7,0.45,72.9,0,0.701244813
1564,3.4,0,67.5,0,0.663366337
79,9,0,41.8,0,0.668430335
778,11.9,0.4,52.2,0,0.001291257
1143,9.7,0,66,0,0.739047619
50,5.7,0,17,2,0.585537919
92,10.3,0.16,31.8,1.2,0.597883598
95,6.6,0,49,0,0.661375661
34,10.4,0,20.4,7.1,0.587301587
764,9.2,0,61.5,0,0.001342435
1626,10.2,0,32.6,0,0.697029703
1069,11,0.02,24.1,3.1,0.579047619
344,5.1,0,28.4,0,0.538461538
744,3.7,0,45.9,0,0.001440854
1457,5.2,0.13,78.3,0,0.851485149
328,7.5,0,30.2,0,0.627865961
330,7.3,0,49.3,0,0.57319224
664,8,0.15,43.2,0,0.601709402
1469,6.8,0,65.6,0,0.693069307
1385,11.9,0.04,31.7,0,0.615841584
892,5,0.06,74.2,0,0.001401487
1379,11.1,0,50.1,0,0.645544554
1314,12.2,0.53,43.7,0,0.611428571
1078,10.6,0.5,43.7,0,0.613333333
676,12.9,1.82,35.5,0,0.514529915
1402,10,0,41.4,0,0.691089109
673,14.3,0.84,43.2,0,0.548717949
1585,14.8,0.06,66.2,0,0.592079208
1815,9.8,0,77.5,0,0.798755187
213,6.9,0,71.7,0,0.633156966
1901,9,0.05,49.2,0,0.68879668
638,8.8,0,53.1,0,0.613675214
1846,10.6,0,71.5,0,0.838174274
1201,8.1,0.07,78.6,0,0.681904762
1692,15.7,0.32,38.6,0,0.699170124
812,9.6,0,64,0,0.001310941
1792,8,0,80.1,0,0.821576763
761,6.1,0,64.7,0,0.001279447
738,11,0,45.7,0,0.001295194
1211,6.6,0,70.5,0,0.723809524
428,7.4,0,62.3,0,0.576068376
89,10.5,0,64.6,0,0.747795414
994,9.5,0.28,27,3.1,0.001161344
932,9.4,0,72.2,0,0.001417234
861,4.4,0,80.9,0,0.001763668
935,5.8,0,54.1,0,0.001291257
1483,12.3,2.56,63.2,0,0.695049505
1743,7.8,0.13,58,0,0.77593361
1608,7.1,0,53.5,0,0.691089109
1884,8.3,0.28,60.3,0,0.647302905
1220,6.5,0,77.1,0,0.697142857
1387,5.8,0,30.1,0,0.732673267
1453,4.3,1.24,60,0,0.774257426
1033,13.6,0.01,38.2,0,0.624761905
1290,7,0.43,44.8,0,0.64
1115,14.9,0.37,46.1,0,0.56952381
240,7.7,0.1,49.8,0,0.566137566
1070,6.3,0,29.8,1.2,0.59047619
495,5,0,72.3,0,0.594871795
1003,14.4,0.26,47.4,0,0.001149534
331,10.1,0,47,0,0.596119929
1536,4.2,0,80.5,0,0.75049505
1029,11.7,0,29,0,0.653333333
800,8.6,1.02,73.2,0,0.001452664
1824,5.9,0,77.8,0,0.751037344
1040,6.8,0.32,46,0,0.617142857
1368,5.7,0,24.5,11,0.615841584
525,6,0,79.2,0,0.699145299
1171,6,0,65.3,0,0.746666667
431,16.2,0,47.6,0,0.547008547
561,4.3,0.15,71,0,0.634188034
1836,3.6,1.37,77.8,0,0.81120332
997,8.1,0,2.2,3.1,0.001133787
1841,8.7,0,69.4,0,0.7593361
314,7.5,0,25.2,0,0.499118166
1612,4.2,0,43,0,0.687128713
677,8.4,0,28.5,3.1,0.51965812
606,9.5,0,57.3,0,0.67008547
602,9.8,0,63.3,0,0.598290598
1857,5.7,0.05,67.5,0,0.742738589
725,9.4,0.06,62.1,0,0.001299131
805,7.9,0,73.4,0,0.001405423
130,4.8,0,60.1,0,0.670194004
1733,10.9,0.41,47.4,0,0.692946058
1461,7.8,0,77.5,0,0.792079208
1723,3.5,0,57.7,0,0.721991701
1511,11.5,0.01,75.7,0,0.734653465
1298,4.9,0.34,47.6,0,0.638095238
209,6.9,0.01,69.9,0,0.733686067
142,7.2,0.1,64.9,0,0.698412698
607,8.8,0,51.1,0,0.523076923
1037,10.7,0,24.1,0,0.552380952
536,5.1,0,75.6,0,0.618803419
1281,7.1,0.31,52.3,0,0.67047619
972,8,0,49,0,0.001236143
460,9.1,0,46.2,0,0.635897436
359,4.8,0,32.2,0,0.618803419
1417,10.6,0.02,59.5,0,0.702970297
323,7.3,0,34.9,0,0.537918871
1344,8,0,35.1,0,0.681904762
420,19.2,0.82,54.5,0,0.613675214
1288,8.6,1.19,53.1,0,0.666666667
67,7.8,0,42.1,0,0.679012346
1948,10.7,0.76,54.3,0,0.701244813
999,7.5,0,28.1,3.1,0.001326688
1157,6.7,0,80.3,0,0.742857143
557,5.3,0,64.2,0,0.596581197
760,6,0,61,0,0.001299131
775,10.6,0.71,46.9,0,0.001472348
846,9.2,0,81.3,0,0.001247953
1757,8.6,0,71.4,0,0.771784232
590,9.3,0,67.6,0,0.576068376
1679,12.9,0,23.7,0,0.709543568
598,5.5,0,62.3,0,0.586324786
696,9,0,30.5,0,0.001259763
1759,7.8,0,58.9,0,0.697095436
1563,9.3,0,66.6,0,0.683168317
106,9.8,0.43,56,0,0.684303351
1061,9,0,33.7,0,0.548571429
968,10.8,0,51.3,0,0.001228269
672,10.7,0.01,50.6,0,0.603418803
1202,12.4,0,74.2,0,0.737142857
619,11.9,0.48,53.8,0,0.555555556
1802,7.1,0.07,77.6,0,0.744813278
1178,7.9,0.01,74.5,0,0.740952381
679,10.5,0,28.5,2,0.001220396
1776,10.6,0.5,60.4,0,0.709543568
529,6.8,0,82.9,0,0.673504274
906,4.3,0.01,75.2,0,0.00140936
307,13.7,0,24.6,0,0.552028219
1028,11.5,0.02,34.3,0,0.592380952
1736,8.8,0,50.1,0,0.77593361
474,6,0,65.3,0,0.666666667
863,4.4,0,78.8,0,0.001472348
363,7.3,0.06,25.9,1.2,0.572649573
1913,11.6,0,30.2,0,0.639004149
942,10,0,61.4,0,0.001401487
1580,6.1,0,59,0,0.601980198
1875,8.5,0,64.7,0,0.630705394
62,17.7,0,24.9,0,0.51675485
1206,5.4,0,77.2,0,0.695238095
506,3.5,0,76,0,0.717948718
374,15.9,0,21.1,3.1,0.47008547
816,9.4,0,85.2,0,0.00154321
1210,6.1,0,71.9,0,0.773333333
1237,4.1,0,64,0,0.67047619
920,6.5,0,74,0,0.001413297
1111,12.2,0.37,54.6,0,0.647619048
1772,5.7,0.2,59.9,0,0.670124481
1465,9.6,0,68,0,0.730693069
56,13,0,45.7,0,0.705467372
473,4.6,0,58,0,0.608547009
818,5.7,0,71.1,0,0.001472348
1391,9.9,0,31.7,0,0.598019802
1279,5,0,64.6,0,0.554285714
1405,7.7,0,39.6,0,0.647524752
368,6.4,0.05,25.4,16.1,0.48034188
890,10.6,0,76.9,0,0.001582577
1552,7.5,0.02,68.5,0,0.786138614
513,5.9,0.09,75,0,0.622222222
1888,7,0,62.9,0,0.639004149
634,19.9,0.74,49.7,0,0.55042735
1854,8.8,0,68.4,0,0.728215768
319,10.4,0,32.4,0,0.627865961
1505,5,0.01,78.3,0,0.669306931
1126,6.4,0,63.2,0,0.634285714
959,9.5,0,67.1,0,0.001712491
1322,4.5,0,46.3,0,0.662857143
1295,11.5,0,45,0,0.634285714
1514,8.8,0.26,73.6,0,0.81980198
1520,4,0,72.4,0,0.695049505
1781,11.4,0.05,74,0,0.807053942
1607,6.3,0.01,46.9,0,0.691089109
1779,8.9,0.12,74.2,0,0.738589212
103,10.6,0.01,51.9,0,0.62962963
981,6.9,0,39,0,0.001271573
365,6.8,0,28.7,0,0.502564103
123,8.9,0.08,42.9,0,0.712522046
161,6,0.13,77.6,0,0.69664903
26,3.7,0,17.4,3.9,0.520282187
1794,7.2,0,73.3,0,0.854771784
383,10.6,0.04,30.7,3.9,0.535042735
793,4.2,0,57.5,0,0.001401487
1769,13.9,0.72,59,0,0.676348548
702,10,0,28.1,0,0.001291257
648,6.9,0,36.8,0,0.487179487
1628,10,0.17,45.4,0,0.59009901
1335,6.5,0,31.5,0,0.697142857
1162,10.8,0.03,75.6,0,0.697142857
1847,7,0,70.8,0,0.680497925
1551,7.6,0.84,72.2,0,0.669306931
88,4.5,0,55.4,0,0.60670194
1694,6.1,0,36.1,0,0.67219917
1855,7.6,0,68.1,0,0.730290456
1593,5.3,0,47.9,0,0.588118812
1742,9.2,0.28,57.5,0,0.771784232
1000,8.5,0,35.6,2,0.001208585
734,7.3,0,39.5,0,0.001181028
1015,8.8,0.03,22.9,0,0.681904762
509,7.2,0.05,62.5,0,0.569230769
1270,4.4,0.06,65.9,0,0.592380952
931,7,0,66.7,0,0.001295194
781,12.2,0,65.1,0,0.001354245
1865,6.9,0,70.3,0,0.755186722
475,7.2,0,71,0,0.623931624
503,9.3,0,62.8,0,0.6
1175,8.8,0.01,76.3,0,0.80952381
685,10.8,0,41.1,0,0.001389676
1780,9.4,0.13,73.2,0,0.794605809
796,5.4,0,67.2,0,0.001326688
296,9.3,0,43.2,0,0.523809524
843,7.5,0.04,78.6,0,0.001440854
1214,7.7,0,75.6,0,0.67047619
1307,7.9,0,30.1,0,0.607619048
219,3.5,3.17,78.9,0,0.707231041
1338,10.7,0,25.2,0,0.622857143
1829,4.4,0,77.3,0,0.703319502
446,5.4,0.01,60.1,0,0.579487179
1035,11,0,22,0,0.571428571
706,11.8,0,11.5,0,0.001169218
695,13.4,0,35.7,0,0.001346372
1113,15,1.88,45.2,0,0.6
1814,10.1,0,81.5,0,0.769709544
167,11.6,0.2,80.4,0,0.682539683
102,11,0.24,57.9,0,0.701940035
1303,10.3,0,43.4,0,0.588571429
626,5.2,0,60.3,0,0.673504274
354,12.1,0,36.8,1.2,0.591452991
1148,7.3,0,81,0,0.699047619
924,11.4,0.02,62.4,0,0.001389676
1020,9.1,0.43,33.6,0,0.636190476
749,16,0,40.4,0,0.001236143
1639,4.5,0,24.5,0,0.611881188
881,6.7,0,75.5,0,0.001476285
1366,14.5,0,35.8,0,0.659405941
1668,8.8,0,32.4,2,0.678423237
1222,10.3,0.07,75.1,0,0.76952381
1708,4.2,0,52.3,0,0.726141079
652,8.4,0.1,34.2,0,0.574358974
1032,9.7,0,24.1,0,0.655238095
616,6.1,0.12,52.8,0,0.555555556
1660,9.8,0,30.8,0,0.753112033
1718,10.9,0.08,58.6,0,0.661825726
1677,16.7,0.01,20.6,1.2,0.639004149
175,6.4,0,73.4,0,0.774250441
1084,15.7,0.88,39.6,0,0.744761905
887,8.9,1.01,68.5,0,0.001480222
564,7.5,0,83.9,0,0.743589744
1266,8.2,0,61.5,0,0.727619048
285,9.5,0.03,48.5,0,0.675485009
1451,9.1,0.01,51.5,0,0.697029703
1258,5.3,0,84.4,0,0.733333333
1516,5.5,0,79.1,0,0.782178218
30,6.7,0,6.9,7.9,0.490299824
1380,9.9,0,51.8,0,0.60990099
1436,7.1,0,70.7,0,0.774257426
1758,7.5,0.03,60.9,0,0.738589212
61,9.7,0,37,0,0.62962963
1930,11.7,0.06,33.3,0,0.661825726
238,10.9,0.57,56.6,0,0.624338624
1125,6.3,0,59,0,0.79047619
258,7.1,0,69.8,0,0.687830688
1635,8.4,0,30.8,0,0.687128713
94,12.7,0,50.7,0,0.767195767
1594,10.5,0.17,44.5,0,0.627722772
1568,5.1,0,70.3,0,0.742574257
1561,15.4,0.08,67.1,0,0.621782178
948,11.5,0,49.5,0,0.001401487
1424,9.2,0,51,0,0.605940594
1513,11.9,0.06,71.6,0,0.778217822
1746,10.2,0.05,49.5,0,0.721991701
139,14.3,0,78.1,0,0.758377425
297,8.3,0,52.6,0,0.62962963
237,12.4,1.04,74.6,0,0.647266314
117,6.6,0.59,64.2,0,0.613756614
325,11.4,0.1,37.4,0,0.552028219
1437,8,0,63.5,0,0.631683168
1785,5.7,0.45,80.4,0,0.834024896
11,8.1,0,15.5,1.2,0.552028219
1239,10.9,0,73.5,0,0.662857143
1466,11.2,0,67.2,0,0.706930693
379,12.6,0,13.9,3.1,0.557264957
1548,6.8,0.06,83.5,0,0.726732673
23,6.4,0,24.9,2,0.589065256
242,4,0,58.4,0,0.636684303
134,8.3,0.08,76,0,0.631393298
1018,4.8,0,34.3,0,0.573333333
114,9.3,0,63.8,0,0.656084656
893,7.8,0.65,75.9,0,0.001582577
227,6.4,0,78.1,0,0.641975309
1225,7,0.06,79.5,0,0.662857143
1329,15.2,0,57.1,0,0.71047619
1926,7.3,0,45.5,0,0.680497925
160,4.8,0.08,73.1,0,0.686067019
1501,8.5,0,82.2,0,0.758415842
711,11.8,0,51.2,0,0.001125913
263,9.8,0,57.2,0,0.627865961
703,6.3,0,30.5,0,0.001208585
960,3.7,0,64.6,0,0.001334562
228,10.9,0,78.8,0,0.814814815
1537,6,0,80.2,0,0.827722772
838,6,0,70.4,0,0.001488095
1614,10.3,0.36,48.3,0,0.691089109
1189,5.2,0,71,0,0.782857143
1848,8.2,0,68.3,0,0.701244813
482,6.2,0.01,72.1,0,0.694017094
927,12.5,0.72,63.3,0,0.001377866
577,8.6,0,73.5,0,0.629059829
956,10.7,0,67.1,0,0.001625882
1051,7.4,0,55.1,0,0.64
189,14.5,0.19,73.4,0,0.71957672
1434,6.4,0.45,65.4,0,0.708910891
886,9.6,0,75.8,0,0.001515653
246,7.9,0,65.4,0,0.710758377
674,9.6,0,41.6,0,0.514529915
1933,5.3,0,36.8,0,0.670124481
78,17.1,0.03,47.1,0,0.78659612
355,10.9,0,38.7,0,0.548717949
662,8,0.05,59.7,0,0.502564103
1791,6.4,0,82.8,0,0.877593361
15,7.6,0,6.9,5.1,0.522045855
1885,7,0,60.1,0,0.692946058
1415,5.7,0,37.1,0,0.659405941
276,8.5,0,55.5,0,0.659611993
757,7.3,0,44.7,0,0.001307004
1790,6.2,0.01,78.8,0,0.728215768
1554,9.3,1.07,76.9,0,0.805940594
1703,11.3,0.61,40.2,0,0.645228216
25,3.5,0,11.4,3.9,0.557319224
1193,6.8,0,80.5,0,0.704761905
933,3.5,0.06,67.8,0,0.001354245
548,6.9,0,81.2,0,0.629059829
628,14.1,0.47,55.8,0,0.642735043
903,9.3,0,83.8,0,0.001519589
1616,14.5,0.01,38.5,0,0.631683168
531,9.5,0,80,0,0.656410256
332,8,0.12,44.3,0,0.529100529
38,7.7,0,38.2,3.9,0.596119929
255,3.5,0,68.9,0,0.694885362
910,7.8,0,74.4,0,0.00140936
499,5,0,70,0,0.545299145
801,8.7,0,76.1,0,0.001417234
1448,5.9,0,65.2,0,0.714851485
1227,8.2,0.05,69.5,0,0.691428571
1839,8,0,74.3,0,0.699170124
1470,4.6,0.28,66.5,0,0.700990099
1684,8.6,0,26.3,0,0.645228216
1905,4,0.03,48.8,0,0.690871369
656,4.4,0,37.2,0,0.591452991
1486,10,0,70.1,0,0.78019802
1498,7,0,71.7,0,0.742574257
1072,12.1,0,42.4,0,0.598095238
1357,10.4,0,39.7,0,0.651485149
110,12.8,0.04,57,0,0.622574956
631,3.4,0,46.1,0,0.564102564
1632,11.6,0,38.5,1.2,0.722772277
538,7.5,0,76.4,0,0.700854701
1867,5.8,0,74.3,0,0.819502075
976,13.7,0,62.8,0,0.001425107
318,8.7,0,27.8,0,0.564373898
41,10.6,0,29.9,1.2,0.507936508
486,6.7,1.54,76.4,0,0.564102564
940,6.6,0.5,49.6,0,0.001291257
587,7.6,0,69.2,0,0.618803419
643,8.8,0,31,2,0.52991453
967,8.8,0.01,51.5,0,0.001177091
629,8.3,0,46.4,0,0.55042735
1209,7.2,0.01,67.7,0,0.84
1763,7.9,0,67.3,0,0.831950207
1305,9,0,39,0,0.582857143
897,8.8,0.17,74.6,0,0.001464475
979,4.9,0,35.5,0,0.00128732
1161,9.1,0.02,80.5,0,0.674285714
1927,5.5,0,42.1,0,0.695020747
1369,7.4,0,34,5.9,0.588118812
1376,10.3,0.14,40.7,0,0.635643564
42,8.9,0,23.8,0,0.513227513
1245,6.9,0,62.5,0,0.643809524
264,9.8,0,57.5,0,0.622574956
13,7.7,0,34,1.2,0.559082892
518,7.8,0.52,80,0,0.630769231
1770,10.6,0.02,66,0,0.79253112
1147,6.2,0,75.2,0,0.727619048
731,19.8,0.22,54.7,0,0.00128732
581,3.2,0.04,62.4,0,0.608547009
1714,11.2,0.13,44.3,0,0.657676349
1624,6.4,0.15,34.4,0,0.596039604
45,12.9,0,8.4,0,0.57319224
433,7.9,0,44.5,0,0.629059829
686,11.2,0.02,30.4,0,0.00114166
1670,10.4,0,20.3,5.1,0.649377593
1908,10.3,0,39.5,0,0.670124481
1663,15.5,0,45.6,0,0.639004149
1283,10.2,0,60,0,0.676190476
317,11.5,0,25.3,0,0.710758377
1351,6,0,30.5,1.2,0.633663366
1016,5.4,0,30.1,0,0.548571429
1048,6.9,0,46.4,0,0.76
