,day,wdsp,total_num_of_crimes
146,7,10.3,0.535042735
1164,5,7.9,0.76039604
1638,7,6.8,0.63960396
444,4,7.3,0.653465347
1965,2,4,0.524786325
573,1,6.3,0.560683761
1419,2,8.6,0.656410256
2042,7,7.3,0.537918871
1019,1,8.1,0.678095238
1549,7,9.3,0.780082988
118,5,7,0.693333333
1079,4,11.5,0.681904762
1431,4,3.8,0.630769231
732,3,14.8,0.738613861
750,6,7.1,0.774257426
454,4,14.1,0.64484127
674,3,9.1,0.633156966
1260,7,4,0.695049505
256,7,14.3,0.571428571
331,2,8.7,0.546737213
1355,1,4.8,0.699047619
380,3,10.4,0.57319224
1438,7,5.2,0.757936508
30,6,6.8,0.7406639
1273,3,8.5,0.709543568
679,2,9.6,0.697095436
1361,2,6.6,0.708571429
954,5,6.8,0.693069307
1862,5,8.4,0.668430335
1783,4,5.9,0.717842324
941,2,12.1,0.740952381
591,4,9.1,0.553846154
829,6,7.8,0.77593361
715,1,9.6,0.701244813
390,2,8.4,0.615841584
1706,7,7.8,0.574955908
1240,2,4.4,0.888888889
475,3,7.7,0.653526971
1049,6,11.6,0.702857143
1100,4,6.9,0.746031746
576,5,10.5,0.631683168
1523,1,5.1,0.64952381
718,6,11.6,0.571428571
1721,6,5,0.554285714
1402,1,3.5,0.716269841
1253,5,12.4,0.737142857
446,7,17.7,0.51675485
169,3,8.9,0.603174603
875,5,5.4,0.672380952
402,4,10,0.592079208
1759,7,5.6,0.690871369
1346,3,6.9,0.733686067
2170,3,8.2,0.654761905
2099,6,7.9,0.714285714
494,1,4.9,0.601410935
521,2,9.6,0.607619048
164,3,6.8,0.502564103
1861,3,8.4,0.626556017
346,1,6.8,0.575238095
345,6,10.6,0.583333333
1864,1,4.8,0.680555556
507,4,8.1,0.555555556
135,6,6.5,0.615079365
73,1,12.2,0.659611993
497,5,12.9,0.712380952
1342,5,6.6,0.71031746
422,3,16.1,0.541446208
640,7,6.1,0.64484127
865,5,7.1,0.838174274
1925,5,8.8,0.681904762
746,1,11.7,0.758377425
1006,5,9.1,0.718253968
1123,6,8,0.821576763
1904,5,7.5,0.624338624
789,2,15.3,0.620512821
1031,3,5.8,0.72952381
202,5,9.6,0.588571429
1799,5,13.6,0.752380952
1139,7,7,0.740952381
408,5,5.8,0.732673267
767,1,6.3,0.607619048
1264,6,9,0.884920635
1398,2,7.3,0.691089109
1415,4,7.5,0.71047619
929,7,7.3,0.699047619
1133,6,7.5,0.693333333
1570,1,7.6,0.662698413
1567,3,7.1,0.668049793
539,5,15.7,0.744761905
1581,1,5.6,0.582905983
2179,7,10.7,0.701244813
1702,2,8,0.676587302
1102,7,6,0.75
641,1,5,0.643809524
449,4,6.3,0.59047619
68,1,8.7,0.526495726
695,3,11.2,0.685714286
1676,2,9.8,0.627865961
574,3,10.6,0.581349206
1625,4,7.8,0.666666667
866,7,3.5,0.634920635
130,7,4.5,0.655238095
1739,2,9.9,0.632380952
1198,2,4,0.833333333
1741,4,5.3,0.67219917
2033,2,22.4,0.674285714
176,5,9.2,0.582905983
1117,5,6.4,0.877593361
1159,5,4.6,0.769709544
1350,1,4,0.78019802
975,5,6.1,0.687179487
121,2,13.6,0.502645503
835,7,10.7,0.736514523
784,3,5.4,0.759920635
1608,2,7.7,0.627722772
1808,3,9.5,0.675485009
170,4,12.7,0.582905983
1468,5,9.1,0.753968254
1340,2,11,0.596119929
98,6,12.1,0.591452991
1077,1,4.4,0.617094017
584,2,5.9,0.654320988
614,7,11.2,0.590828924
847,2,10.2,0.721991701
1530,3,5.4,0.647524752
1129,7,11.8,0.744813278
1950,3,10.2,0.697029703
1859,1,10.3,0.63047619
575,4,18.7,0.605714286
810,2,8.2,0.708910891
1226,4,8.2,0.742504409
1252,4,4.4,0.742063492
623,5,7.4,0.702857143
1008,7,9.3,0.742574257
450,5,11.4,0.64950495
589,1,6.9,0.744813278
1247,4,8.1,0.681904762
747,2,7.2,0.558974359
1791,1,4.8,0.651282051
1732,7,7.8,0.712301587
1470,7,9.9,0.742574257
915,2,4.6,0.608547009
1506,6,15.4,0.621782178
1733,1,7.1,0.67047619
1303,1,5.7,0.769709544
794,2,10.4,0.64021164
1278,3,5.8,0.869306931
712,5,7.9,0.654761905
525,7,12.4,0.478632479
1385,6,6,0.767619048
520,1,9.7,0.783730159
132,2,10.4,0.649377593
1829,3,6.8,0.727619048
1695,6,5,0.58974359
1281,7,12.6,0.676923077
1080,5,8.4,0.700990099
787,6,6.1,0.661825726
1409,3,8.2,0.691428571
1177,1,10,0.771784232
1475,7,6.3,0.657142857
955,6,9.2,0.809128631
818,6,6.7,0.700176367
828,5,9.1,0.695049505
809,1,6.7,0.820952381
1447,4,10.6,0.838174274
862,2,8.7,0.761904762
1614,3,9.3,0.693069307
1053,4,6.7,0.652991453
1311,5,7.5,0.700854701
149,4,7.6,0.657425743
1428,7,6.8,0.726732673
1282,2,5.4,0.76984127
1988,5,7.5,0.499118166
477,6,11.4,0.521367521
1547,5,7.5,0.725714286
777,7,7.7,0.567521368
734,6,12.8,0.622574956
1454,7,6.4,0.641975309
694,2,11.8,0.636904762
1146,2,8.5,0.758415842
1107,6,3.1,0.705982906
1207,6,12.9,0.765560166
1981,2,5.5,0.695020747
92,5,6,0.581196581
518,5,13.7,0.633156966
1204,3,5.8,0.779761905
1652,5,12,0.590828924
1818,2,7.1,0.691089109
2019,4,8.4,0.574358974
1165,6,8.7,0.834024896
978,2,6,0.772277228
1069,4,6.8,0.784232365
1696,1,5.6,0.692460317
1997,3,6.8,0.664761905
1780,1,8.4,0.712301587
1285,5,5.6,0.98340249
358,2,16.2,0.744047619
659,4,10.9,0.681904762
108,5,7.9,0.678423237
981,6,5.8,0.646153846
196,4,11,0.571428571
2013,3,7.5,0.577777778
1718,2,8.3,0.633156966
1023,6,5.9,0.656410256
2051,5,10.3,0.643809524
1777,3,9,0.68879668
266,6,15.9,0.47008547
2106,1,6.8,0.621782178
1089,3,7.7,0.733333333
910,3,6,0.882936508
526,2,3.7,0.726190476
76,5,8.8,0.681904762
1143,5,4.3,0.579487179
1703,3,13.7,0.582857143
184,2,13.6,0.624761905
1557,4,9.3,0.593162393
646,1,4.8,0.676587302
2143,1,7.5,0.713692946
2077,4,9.6,0.641078838
2135,5,6.6,0.678095238
1410,4,5.8,0.627722772
2081,3,11.3,0.586666667
392,5,6.4,0.649029982
471,5,7.8,0.629059829
2076,3,10.3,0.724752475
1617,7,6.5,0.61025641
2064,1,5.2,0.695049505
1845,3,5.2,0.673504274
1827,7,10.9,0.709401709
2079,7,8,0.502564103
563,2,8.1,0.683809524
341,1,8.1,0.637623762
1550,2,5.3,0.617283951
628,5,7.3,0.718253968
1245,1,6.8,0.668376068
1844,2,14.8,0.636684303
1349,7,3.2,0.655238095
1940,4,13.7,0.552028219
586,5,10.3,0.55952381
869,4,10.4,0.725714286
187,6,5.2,0.677248677
704,1,14.5,0.636684303
1603,2,8.2,0.721991701
1028,6,5.8,0.698412698
1186,7,10.2,0.676587302
1941,5,10.5,0.576068376
1693,3,7.5,0.728215768
1459,6,8.2,0.701244813
913,6,8.6,0.771784232
1192,1,5.7,0.732142857
1020,2,6.6,0.716831683
123,4,2.7,0.617063492
1497,1,7.5,0.647863248
2024,4,6.7,0.592592593
1958,7,10.1,0.599647266
1170,6,5,0.669306931
698,7,13.8,0.562610229
59,3,10.6,0.671287129
1513,1,5.7,0.742738589
250,6,6.8,0.584761905
861,7,5.4,0.555555556
2146,6,5.2,0.577380952
2163,7,14.5,0.507692308
1043,5,10.4,0.634285714
421,1,9.9,0.678423237
995,4,7.9,0.752380952
1528,1,7.4,0.767857143
1558,6,8.8,0.755952381
1185,5,7.8,0.630769231
474,2,17,0.633663366
811,3,3.1,0.778008299
223,5,9.6,0.569664903
1985,1,4.5,0.662857143
87,5,10.8,0.700396825
423,4,6.5,0.623931624
1590,6,10.7,0.748514851
1326,4,7.9,0.718811881
917,5,5.4,0.779047619
285,3,5.9,0.581349206
136,1,9.6,0.691428571
1910,6,5.5,0.624338624
163,2,9.2,0.48324515
519,6,6.2,0.533333333
1694,5,4.4,0.624338624
1232,5,7.6,0.765432099
701,4,12.2,0.647619048
1719,3,6.6,0.641025641
2003,4,8.8,0.662857143
2000,7,11.8,0.650793651
803,7,6.2,0.668571429
633,4,7.1,0.572649573
2032,1,8.1,0.678571429
436,1,4.7,0.66468254
368,1,6.5,0.509700176
1773,5,9.7,0.625641026
93,6,11.2,0.575396825
1683,4,7.7,0.502564103
1063,3,6.3,0.809128631
1605,5,7.1,0.65982906
74,2,9.1,0.548717949
1258,5,5.9,0.724206349
610,2,7.6,0.652777778
2185,1,13.7,0.628630705
1003,7,5.7,0.670124481
669,3,12.7,0.51965812
1047,3,5,0.594871795
962,2,6.4,0.564373898
253,3,4.7,0.485008818
1265,7,4.9,0.708571429
258,2,11.1,0.697095436
1476,1,6.5,0.748514851
1651,3,8.6,0.709543568
1686,1,8.2,0.657425743
15,7,10.9,0.569444444
1179,4,6.9,0.531623932
2107,2,10.2,0.653526971
2140,5,6.1,0.662698413
1509,3,6.2,0.557264957
1050,7,6.3,0.805940594
1620,4,6.1,0.601980198
1787,3,7,0.64
1472,3,5,0.627865961
1852,6,6.2,0.670634921
1041,2,9,0.601709402
653,3,8.1,0.71047619
1390,6,9.6,0.763888889
1887,3,8.1,0.52991453
492,5,7.8,0.702970297
1094,3,9.3,0.705467372
1060,7,8.7,0.678571429
1606,7,7.4,0.761904762
1924,4,9.8,0.736111111
1711,6,14.2,0.711618257
472,7,9.4,0.617063492
349,5,7.6,0.553791887
414,6,5.4,0.594059406
109,7,10.8,0.546737213
1729,2,8,0.736514523
1417,6,8.7,0.7593361
731,2,14.9,0.56952381
2082,4,5.2,0.625742574
1289,4,7.6,0.84952381
310,2,8,0.632380952
1572,3,8.7,0.726732673
1042,4,7.6,0.734126984
67,7,11.8,0.555555556
1096,6,4.7,0.688492063
570,4,7.1,0.651485149
400,2,12.2,0.706349206
103,6,8.1,0.552028219
817,4,8,0.751037344
1670,1,9,0.571428571
691,4,3.5,0.721991701
1619,3,10.1,0.659047619
1821,6,8.8,0.547008547
851,1,12.1,0.718095238
683,1,6.6,0.662857143
1024,1,11.5,0.841269841
1378,4,6.2,0.68452381
407,4,8.5,0.580952381
1611,6,7.6,0.618803419
1541,4,3.9,0.632380952
60,4,6.8,0.657676349
1508,2,6.6,0.633156966
675,4,7.9,0.629059829
10,1,6.1,0.567619048
723,5,5.5,0.765811966
1413,1,11.4,0.579487179
901,4,5.7,0.697095436
1399,3,5.5,0.697095436
1504,4,9.4,0.777777778
2014,5,7.7,0.678571429
1888,5,12.4,0.676587302
2168,7,8.1,0.497354497
125,7,4.7,0.627722772
91,4,12.6,0.557319224
367,6,6.5,0.645228216
1325,3,3.5,0.725714286
1566,2,5.3,0.706930693
1748,7,6.1,0.615520282
1700,6,4.1,0.636684303
1747,5,4.8,0.67219917
1363,4,7.9,0.742738589
434,5,14.3,0.661375661
1494,4,9.7,0.689108911
134,5,10.2,0.675213675
678,1,9.1,0.63960396
1637,6,9.5,0.603809524
2058,7,2.7,0.655445545
867,1,12.8,0.582905983
2156,5,9.9,0.520282187
1840,4,5.3,0.716269841
1161,1,9.1,0.687179487
1717,7,12.2,0.628630705
80,3,5.3,0.543589744
700,3,14.1,0.648809524
1310,4,7.2,0.767195767
1487,2,11,0.622857143
868,3,9.4,0.746031746
1306,6,6.7,0.751984127
1749,1,13.2,0.652991453
1193,2,3.3,0.702857143
190,3,10.1,0.773333333
2030,5,4.7,0.686067019
111,2,6.4,0.593253968
1744,2,14.2,0.746031746
1763,6,11.3,0.672380952
710,2,9.8,0.684303351
344,5,6.7,0.492307692
64,3,11.6,0.552380952
148,3,9.9,0.664761905
982,1,5.7,0.742063492
687,6,13.1,0.567521368
1147,3,8.9,0.807053942
1210,4,7.8,0.724206349
1596,7,5,0.683168317
1222,6,4.5,0.748015873
1675,7,8.3,0.647302905
670,5,10.5,0.712301587
1937,7,12.3,0.601904762
1463,5,12.7,0.765714286
994,3,9.6,0.738095238
1032,4,10.6,0.663366337
456,6,9.7,0.691089109
1424,2,5,0.705467372
1892,3,12.5,0.532627866
1671,2,5.7,0.627350427
1881,2,3.5,0.531623932
383,7,12.1,0.575238095
1103,1,6.6,0.826666667
1460,1,10.9,0.814814815
1498,3,9.5,0.654761905
963,3,11.5,0.652991453
65,4,15.9,0.611881188
807,5,9.8,0.707692308
1698,3,10.6,0.689108911
1138,6,9.9,0.674603175
903,7,15.6,0.524786325
1944,2,9.3,0.655445545
1805,6,10.9,0.56952381
725,1,11.6,0.761904762
1738,1,12.6,0.742063492
1884,6,12.5,0.6
384,1,13.8,0.643564356
1005,3,4,0.617094017
1212,6,10.8,0.693069307
1430,3,5.7,0.659611993
459,3,4.3,0.521367521
1911,7,8.3,0.555555556
753,3,5.4,0.579487179
2047,6,5.8,0.630705394
907,5,6.9,0.778008299
1456,3,8.8,0.738095238
1929,3,17,0.562393162
951,1,11.3,0.560683761
1135,1,7.2,0.854771784
850,7,5.4,0.668650794
360,4,11.7,0.702970297
1051,1,9.4,0.794605809
1710,5,6.9,0.592079208
1782,3,3.2,0.734653465
906,4,9.1,0.833663366
544,5,8.1,0.797619048
161,6,13.8,0.621782178
1907,2,7.3,0.643809524
918,6,8.7,0.736633663
110,1,4.5,0.570940171
1270,7,7.1,0.71031746
2091,2,8,0.601709402
952,3,6.9,0.694444444
616,3,7.3,0.658730159
916,4,6.5,0.775793651
564,3,14.6,0.63960396
839,6,10.6,0.580952381
1578,4,6.6,0.778217822
1483,3,9.3,0.674273859
1400,5,6.3,0.701940035
1796,1,10.1,0.626102293
1678,5,9.3,0.771825397
2063,7,9,0.556190476
1792,3,9.9,0.617063492
969,4,6.2,0.694017094
880,5,8.7,0.714285714
1835,4,4.9,0.638095238
1490,6,7.7,0.647266314
843,4,7.3,0.579487179
1298,2,5.3,0.633156966
561,6,10.7,0.582905983
874,4,8.6,0.732142857
1321,4,10.1,0.79253112
1304,3,5.8,0.670194004
1000,4,10,0.78968254
1648,7,6,0.589285714
298,7,2.2,0.64
1745,3,10.2,0.676190476
1532,6,7.7,0.566137566
1935,4,15.8,0.535042735
514,7,7.2,0.593253968
1131,3,7.2,0.569230769
433,3,10.7,0.659751037
1563,5,8.8,0.67008547
1022,5,7.3,0.728395062
195,2,9.2,0.581349206
452,1,8.4,0.615520282
751,7,4.9,0.738589212
339,5,10.1,0.674603175
688,1,12,0.71031746
2085,1,14.6,0.593162393
2017,1,11.7,0.661825726
304,1,7.4,0.64
2141,6,9.3,0.634285714
468,1,11.8,0.625742574
728,5,9.8,0.728395062
1391,7,5.8,0.672380952
696,4,3.2,0.695049505
1555,1,5.1,0.817427386
1035,1,8.7,0.646153846
460,5,9.1,0.700396825
62,7,10,0.511111111
1439,1,4.6,0.6
708,6,13.4,0.669306931
1418,1,6.7,0.677248677
552,1,5.9,0.625742574
1734,2,10,0.603960396
1034,7,4.7,0.747795414
51,6,6.2,0.619047619
1804,5,7.2,0.712301587
1807,1,4,0.690871369
1241,3,6.8,0.657142857
922,5,5.3,0.740079365
1713,2,10.7,0.598290598
1209,2,7.4,0.639316239
1377,2,7.1,0.678632479
1374,5,5.1,0.756435644
643,3,8.5,0.692946058
1194,3,7.8,0.792079208
1445,2,4.1,0.676190476
1297,7,5.1,0.813278008
517,3,7.8,0.668049793
1797,2,9.6,0.552136752
1231,3,5,0.736514523
166,6,11.8,0.68952381
988,2,7.3,0.755952381
297,5,20.9,0.66468254
1319,2,4.4,0.706666667
1543,6,6.9,0.757261411
482,6,11.7,0.617283951
599,1,14.3,0.601904762
1074,4,3.2,0.807920792
596,4,11.8,0.682539683
925,1,7.8,0.697095436
569,3,12.7,0.603809524
401,3,19.4,0.584761905
881,6,6.7,0.723809524
931,2,7.6,0.790456432
1218,7,11.9,0.778217822
2089,6,5.1,0.670124481
1584,5,14.2,0.77029703
142,2,6.6,0.685714286
805,2,4,0.773858921
717,4,12.1,0.548717949
2015,6,4.9,0.659047619
295,3,7.7,0.596119929
1870,2,7.4,0.652777778
1318,1,9.6,0.744047619
957,2,5.9,0.637606838
515,1,7.4,0.697142857
1757,5,7.4,0.706666667
1367,3,6.5,0.697142857
429,5,6.3,0.663247863
2034,3,9.1,0.699009901
1832,7,6,0.615520282
1329,1,4.8,0.639316239
1332,5,6.3,0.803960396
900,3,7.8,0.792079208
884,3,7.2,0.634920635
693,7,10.7,0.606837607
2162,6,11.8,0.57319224
1048,5,7.3,0.720238095
1802,2,13.7,0.675485009
1217,6,8.7,0.681904762
1901,1,5.2,0.636190476
590,3,5.7,0.666666667
172,7,9,0.586666667
530,7,5.8,0.624338624
702,5,10.2,0.720792079
2020,6,6.3,0.718253968
662,1,8.3,0.611992945
1045,7,8.9,0.738589212
1750,3,3.5,0.696428571
778,2,9.7,0.68452381
241,1,6.7,0.490299824
1416,5,8.8,0.685148515
82,6,5.4,0.548571429
1188,2,7.3,0.685148515
1630,4,13.7,0.630952381
1767,4,7.5,0.618803419
2048,1,8.2,0.599647266
1709,4,6.9,0.634285714
779,3,6.1,0.615238095
1720,5,5.3,0.801587302
758,3,9.3,0.656084656
1132,5,7.5,0.726190476
377,6,9,0.548571429
1894,6,7.1,0.708333333
661,6,16,0.70746888
961,7,6.8,0.763485477
1292,1,6.8,0.693121693
714,7,5.8,0.637623762
1317,6,6.5,0.663247863
1899,5,16.4,0.502564103
2115,6,10.7,0.514529915
1643,7,8.2,0.727619048
1568,5,7.9,0.710758377
1153,4,7.8,0.786307054
395,2,18.8,0.594285714
116,2,4.3,0.608547009
1544,1,4,0.636684303
1601,7,5.7,0.662857143
966,7,5.5,0.64950495
206,3,6.4,0.48034188
892,7,10.7,0.751984127
556,7,12,0.615079365
1616,6,4.5,0.742504409
888,1,6.5,0.823762376
2074,1,9.5,0.58531746
2174,1,7.2,0.569664903
634,6,6,0.654761905
2023,2,10.1,0.632780083
2167,5,8.6,0.690871369
637,2,9.4,0.647302905
1618,2,11.4,0.700396825
946,2,9.6,0.660714286
96,3,8.8,0.678423237
