,day,wdsp,temp,total_num_of_crimes
580,4,11.9,41.3,0.748015873
1367,3,6.5,77.1,0.697142857
2108,4,4.6,26.8,0.580246914
571,5,4.9,45,0.684647303
891,5,8.7,75.7,0.682051282
2002,3,8.6,42.1,0.64484127
1580,7,11.4,65.4,0.680776014
1851,4,10.1,65.6,0.634188034
1994,6,10.9,40.9,0.574955908
1007,6,9.1,80.5,0.674285714
1826,6,13.5,40,0.723104056
549,4,11,60.6,0.615384615
1498,3,9.5,85.1,0.654761905
271,6,5.1,15.2,0.479717813
401,3,19.4,46.3,0.584761905
1702,2,8,66.5,0.676587302
660,5,4.6,46.8,0.702970297
223,5,9.6,3,0.569664903
1360,1,6.7,75.5,0.744047619
269,3,7.4,34,0.588118812
916,4,6.5,72.6,0.775793651
452,1,8.4,26.5,0.615520282
1880,1,8.3,52.6,0.62962963
1264,6,9,74.2,0.884920635
1426,5,5,74.2,0.706349206
1639,1,6.6,73.9,0.736514523
754,5,5.4,61.6,0.698412698
124,6,7.1,49.6,0.64952381
1797,2,9.6,54.7,0.552136752
1410,4,5.8,70.9,0.627722772
531,1,9,49.1,0.611965812
1870,2,7.4,57.1,0.652777778
1514,3,12.4,74.6,0.647266314
159,3,9.8,29.1,0.666666667
1679,6,13,70.5,0.603809524
1985,1,4.5,46.3,0.662857143
1893,4,19.9,49.7,0.55042735
706,4,9.8,47.7,0.712301587
1462,4,10.7,70.2,0.886904762
752,2,11.5,53.1,0.689594356
1064,5,8,74,0.770723104
1720,5,5.3,53.9,0.801587302
1567,3,7.1,72.6,0.668049793
1544,1,4,58.4,0.636684303
1574,6,10.8,69.8,0.682539683
1363,4,7.9,71.5,0.742738589
865,5,7.1,64.5,0.838174274
196,4,11,22,0.571428571
781,5,8.8,50.1,0.77593361
1839,2,5.7,61,0.598290598
1090,5,10.3,69.6,0.85515873
1585,6,9,76.6,0.7406639
101,3,8.2,14.3,0.607920792
581,5,11.8,43.8,0.619047619
14,6,4.9,34.3,0.478632479
826,3,6.4,54.2,0.75
213,5,6.3,30.5,0.609126984
1981,2,5.5,42.1,0.695020747
1829,3,6.8,39.8,0.727619048
344,5,6.7,10,0.492307692
331,2,8.7,19.3,0.546737213
1527,6,10.5,59.2,0.541880342
1230,2,4.8,75.7,0.752475248
428,4,7.8,22.7,0.611992945
853,3,12.8,63.9,0.7406639
1860,2,12.8,48.3,0.738613861
2178,6,7.2,29.5,0.61980198
1750,3,3.5,62.3,0.696428571
1306,6,6.7,76.6,0.751984127
798,7,7.1,54.4,0.625742574
1944,2,9.3,32.3,0.655445545
1013,7,10.8,75.6,0.697142857
1004,2,12.9,84.8,0.779541446
1625,4,7.8,62.9,0.666666667
520,1,9.7,46.2,0.783730159
818,6,6.7,49.7,0.700176367
1595,6,5.3,84.4,0.733333333
1888,5,12.4,51.4,0.676587302
1014,1,11.4,86.7,0.857425743
319,7,8.9,23.8,0.513227513
1253,5,12.4,74.2,0.737142857
927,4,7.2,71,0.623931624
1289,4,7.6,76.8,0.84952381
1435,2,9.7,72.9,0.701244813
957,2,5.9,72,0.637606838
1476,1,6.5,78.6,0.748514851
524,6,9.6,35.5,0.643738977
2032,1,8.1,33.4,0.678571429
771,6,7.2,60.4,0.541880342
721,2,7.8,46.1,0.755186722
1547,5,7.5,74.9,0.725714286
1417,6,8.7,69.4,0.7593361
1560,1,3.9,79.1,0.675247525
699,1,11.9,49.1,0.6
1460,1,10.9,78.8,0.814814815
1095,4,9.3,62.8,0.6
1032,4,10.6,66.5,0.663366337
1618,2,11.4,62.4,0.700396825
1169,5,7.6,72.2,0.731428571
1676,2,9.8,57.2,0.627865961
1251,2,6.8,82.9,0.673504274
767,1,6.3,46.6,0.607619048
228,4,8.6,35.9,0.695020747
381,4,8.9,15.2,0.500854701
1789,5,3.8,46.9,0.695020747
1401,6,7.8,75.3,0.699145299
305,2,11.5,59.3,0.598019802
838,5,6.1,60.8,0.753968254
1038,5,12.3,63.2,0.695049505
789,2,15.3,54.2,0.620512821
1662,4,14.8,66.2,0.592079208
833,5,17.3,48.3,0.678095238
1217,6,8.7,78,0.681904762
1754,1,8.5,55.5,0.659611993
980,5,7.7,66.6,0.793650794
1562,4,4.3,62.3,0.735449735
623,5,7.4,55.4,0.702857143
606,3,9.6,48.5,0.76039604
1568,5,7.9,65.4,0.710758377
347,2,11.1,50.1,0.645544554
1859,1,10.3,41.7,0.63047619
614,7,11.2,61.3,0.590828924
1793,4,7.5,48.2,0.68952381
1923,2,12,53.1,0.54017094
1348,6,7.2,78.4,0.755952381
1262,3,5.5,70.1,0.627865961
813,6,6,72.9,0.765811966
1634,2,11.5,56.9,0.661375661
873,2,10.9,73.3,0.625641026
1315,3,5.9,77.8,0.751037344
566,6,8.4,40,0.634920635
734,6,12.8,57,0.622574956
16,2,6.6,40.3,0.617142857
1114,2,6.3,77.2,0.892857143
1119,1,8.5,78.4,0.594871795
675,4,7.9,44.5,0.629059829
1325,3,3.5,74.6,0.725714286
1141,2,5.5,76.8,0.72406639
556,7,12,43.1,0.615079365
1049,6,11.6,70,0.702857143
1395,5,7.4,71.7,0.71965812
411,2,6.2,43.9,0.644444444
1159,5,4.6,74.1,0.769709544
1411,5,10.1,70.6,0.713692946
1202,7,3.3,74.8,0.668430335
1136,3,6.4,73.4,0.774250441
172,7,9,27.6,0.586666667
81,4,8.6,33.9,0.662698413
1868,6,11.3,45.1,0.58377425
827,4,16.6,75.5,0.67047619
187,6,5.2,26.8,0.677248677
1040,1,4.8,73.1,0.686067019
557,1,6.5,49.3,0.620952381
673,1,10.5,68.4,0.661825726
904,2,7.9,73.4,0.708333333
537,2,9.4,50.1,0.579487179
1867,4,11.6,30.2,0.639004149
1622,7,3.5,68.9,0.694885362
1027,4,10.6,60.4,0.709543568
1180,6,6.4,69.3,0.744047619
119,6,10.4,39.7,0.651485149
1790,7,4.7,55.5,0.626102293
562,1,16,40.4,0.623015873
926,3,9,67,0.647266314
1154,6,8.1,76.6,0.710758377
722,4,12.1,46.3,0.756613757
1342,5,6.6,81.5,0.71031746
929,7,7.3,81,0.699047619
1970,2,13.8,26.3,0.541446208
312,4,12.3,31.9,0.711618257
2053,7,10.1,39.9,0.622406639
718,6,11.6,46.6,0.571428571
1906,1,8,49,0.623015873
1055,7,11,65.4,0.68952381
1466,2,6.8,77,0.677248677
1189,3,4.3,81.6,0.757261411
1024,1,11.5,84.6,0.841269841
414,6,5.4,33.4,0.594059406
594,1,6.8,34.5,0.641584158
876,6,5.2,78.3,0.851485149
1932,7,6.4,34.4,0.596039604
424,6,4.3,46.1,0.632936508
1106,5,5.9,70.1,0.680776014
1494,4,9.7,70.6,0.689108911
1543,6,6.9,68.4,0.757261411
1913,3,10.6,47.9,0.636190476
64,3,11.6,33.9,0.552380952
1454,7,6.4,78.1,0.641975309
1489,4,4.4,64.8,0.649377593
1228,7,10.8,80.4,0.742063492
888,1,6.5,84.1,0.823762376
1333,6,5.3,75,0.734439834
369,2,10.6,30.7,0.535042735
1403,2,11.1,75.2,0.740952381
1960,3,8.5,40.7,0.615079365
164,3,6.8,28.7,0.502564103
1743,7,2.8,46.8,0.509401709
448,3,19.8,54.7,0.648809524
555,5,8.9,52,0.593162393
817,4,8,67,0.751037344
641,1,5,59.7,0.643809524
1628,1,4.5,69.6,0.64021164
481,4,9.2,40.4,0.626556017
1048,5,7.3,73.3,0.720238095
109,7,10.8,21.2,0.546737213
1894,6,7.1,45.3,0.708333333
459,3,4.3,38.8,0.521367521
1615,4,9.3,66.8,0.668049793
387,5,10.4,14.7,0.558974359
1448,6,11.5,79.5,0.707231041
482,6,11.7,41.9,0.617283951
88,7,2.5,28.1,0.537142857
1834,3,3.7,64.6,0.672619048
1250,1,13.3,68,0.733686067
1784,6,8.8,64.2,0.634920635
646,1,4.8,68.2,0.676587302
268,2,11,41.4,0.651428571
2061,4,12.2,50,0.533333333
2118,3,9.3,40.1,0.679207921
1377,2,7.1,75.8,0.678632479
1590,6,10.7,60.3,0.748514851
791,5,6.3,59,0.79047619
2043,1,4.4,37.2,0.591452991
1763,6,11.3,68.6,0.672380952
1611,6,7.6,69.2,0.618803419
2013,3,7.5,36.5,0.577777778
154,4,11.5,34.3,0.592380952
1503,2,8,80,0.567521368
1243,5,7.9,76.7,0.798755187
1198,2,4,79.6,0.833333333
1831,5,8.8,33.1,0.798755187
1937,7,12.3,35,0.601904762
1229,1,10.2,71.5,0.700952381
705,2,5.4,49.1,0.564102564
1194,3,7.8,72.6,0.792079208
775,4,10.6,63.2,0.721991701
1165,6,8.7,82.4,0.834024896
1925,5,8.8,39.5,0.681904762
130,7,4.5,43.9,0.655238095
1153,4,7.8,78.7,0.786307054
993,1,6.7,76.4,0.564102564
951,1,11.3,74.9,0.560683761
1681,1,7,60.1,0.692946058
1051,1,9.4,73.2,0.794605809
2025,5,8.9,38.3,0.558974359
1576,2,7.8,77.3,0.755952381
679,2,9.6,59.1,0.697095436
1252,4,4.4,78.8,0.742063492
1171,7,7.4,80.2,0.732365145
1175,6,5.2,71,0.782857143
302,5,8.8,7,0.507692308
10,1,6.1,36.1,0.567619048
476,5,7.8,42.1,0.679012346
417,3,6.5,44.7,0.584615385
1187,1,6.7,69.2,0.796190476
1749,1,13.2,57.7,0.652991453
1246,3,3.9,81.5,0.722222222
1991,2,13.9,55.8,0.691428571
329,6,9.5,37.7,0.594059406
1685,7,9.4,65.5,0.617142857
1805,6,10.9,38.7,0.56952381
1928,2,15.2,15.6,0.552028219
629,6,13.8,70.3,0.704761905
112,4,6.3,35.6,0.660952381
368,1,6.5,8.5,0.509700176
1349,7,3.2,69.3,0.655238095
1876,3,8.8,51.5,0.593253968
1976,3,5.2,25.5,0.562610229
1665,1,7.4,58.4,0.622222222
1206,5,11.5,75.7,0.734653465
1181,7,10.3,73.1,0.68952381
1898,4,10.4,28.2,0.532627866
603,6,7.2,50.5,0.601709402
404,7,7.9,28.9,0.507936508
1209,2,7.4,77.1,0.639316239
310,2,8,59.7,0.632380952
1599,4,6,69.7,0.591452991
1732,7,7.8,69.4,0.712301587
1162,3,7.9,79.1,0.656746032
1596,7,5,61.2,0.683168317
285,3,5.9,30.8,0.581349206
939,6,9.6,62.4,0.564102564
1537,5,10.7,75.1,0.757261411
538,4,15.2,60.9,0.682539683
1442,5,8.3,77.7,0.731922399
1248,5,8.3,71.1,0.764356436
1837,6,10.3,39.5,0.670124481
1046,2,6,77.6,0.69664903
1193,2,3.3,76,0.702857143
2029,3,11.4,37.6,0.709543568
567,7,10.3,56.3,0.538461538
56,6,11.6,8,0.509401709
137,2,10.1,36,0.673267327
1174,5,8.5,72.6,0.734126984
981,6,5.8,69.7,0.646153846
1721,6,5,64.6,0.554285714
842,3,6.9,77.4,0.643738977
2133,2,6.9,41.6,0.52991453
1389,4,14,67.2,0.635897436
715,1,9.6,46.8,0.701244813
1959,1,8.8,31,0.52991453
785,4,9.3,54.7,0.626666667
1917,1,8.8,53.1,0.613675214
1143,5,4.3,71.5,0.579487179
1791,1,4.8,52.2,0.651282051
572,7,6.4,44.7,0.574955908
1421,5,5.5,64.4,0.622857143
649,4,10.9,58.6,0.661825726
987,7,7.2,75.9,0.68034188
1009,1,6.7,59.8,0.755186722
654,4,9.4,41.1,0.653465347
2131,6,7.3,39,0.663900415
676,6,7.2,49.4,0.630952381
1052,3,4.1,70.8,0.671957672
1135,1,7.2,73.3,0.854771784
2057,6,12.4,30,0.605714286
565,4,8.5,46.7,0.641078838
1658,6,13.5,44.5,0.589065256
879,3,11.7,70.9,0.627350427
1039,6,8.3,69.1,0.790456432
1125,2,12.3,69,0.594871795
944,6,5,73.5,0.754850088
1608,2,7.7,73.2,0.627722772
695,3,11.2,71.3,0.685714286
128,4,4.8,32.2,0.618803419
867,1,12.8,74.3,0.582905983
999,2,8.5,70.4,0.700854701
1557,4,9.3,75,0.593162393
741,1,8.4,67.8,0.625641026
568,2,8.5,36.1,0.654761905
2016,7,7.2,43.4,0.623762376
534,5,7.7,39.6,0.647524752
1817,1,11.5,45,0.634285714
1901,1,5.2,37.9,0.636190476
830,1,9.7,62.7,0.693121693
1879,6,10.1,34.8,0.647302905
464,3,9.7,43.9,0.682539683
1534,2,7.8,74.4,0.71031746
561,6,10.7,42.9,0.582905983
1957,5,8.2,37.2,0.665975104
1335,2,6.9,75,0.629059829
1591,7,10.1,73.2,0.641078838
1474,6,6.5,70.2,0.706349206
2098,5,7.2,14.4,0.656746032
1156,2,12.1,82.9,0.722222222
1972,5,6.9,39,0.640873016
504,7,13.4,34.6,0.611881188
1233,6,8.2,80.8,0.64957265
346,1,6.8,42.8,0.575238095
1757,5,7.4,64.7,0.706666667
355,1,14.6,42.1,0.619047619
281,5,10.6,36.2,0.621782178
2188,6,13.4,37.4,0.609126984
1910,6,5.5,27.3,0.624338624
1771,2,16.1,50.8,0.636929461
260,5,8.4,14.5,0.483760684
803,7,6.2,63.3,0.668571429
1025,2,8.8,66.6,0.712380952
914,1,14.3,78.1,0.758377425
1549,7,9.3,71.6,0.780082988
1502,1,4.8,70.6,0.555555556
1351,2,5.4,76.1,0.761410788
1166,1,6.7,74.4,0.684303351
1471,1,3.8,71.3,0.782157676
1726,6,10,61.4,0.706349206
1260,7,4,72.4,0.695049505
1583,4,5.9,84,0.647619048
843,4,7.3,54.7,0.579487179
1473,4,7.5,83.9,0.743589744
1138,6,9.9,74.5,0.674603175
947,3,10,67,0.716190476
696,4,3.2,49.3,0.695049505
590,3,5.7,49.6,0.666666667
821,3,15.5,78.9,0.72952381
1021,3,5.5,67.4,0.761410788
1222,6,4.5,86,0.748015873
2051,5,10.3,25.2,0.643809524
732,3,14.8,77.2,0.738613861
2044,3,12.9,28.1,0.626984127
1811,7,7.6,40,0.632380952
386,4,7.6,23.1,0.53968254
408,5,5.8,30.1,0.732673267
2132,1,8.1,36,0.536155203
440,6,9.7,37,0.62962963
1102,7,6,70.4,0.75
1550,2,5.3,57.9,0.617283951
2164,2,13.2,29.9,0.593253968
8,5,5.1,28.4,0.538461538
1172,2,10,64.8,0.712522046
751,7,4.9,58.8,0.738589212
1532,6,7.7,49.8,0.566137566
360,4,11.7,39.5,0.702970297
1313,1,6.6,70.5,0.723809524
1238,6,7.3,75.5,0.680776014
1930,5,13.7,62.8,0.718253968
292,6,8.2,56.9,0.64
525,7,12.4,34.9,0.478632479
689,2,9.8,66.4,0.718095238
1191,6,8,82.5,0.613675214
311,3,10.2,32.8,0.62970297
1571,2,5.7,70.3,0.651428571
1699,4,7,62.9,0.639004149
1092,7,11.2,84.9,0.885148515
609,7,8,58.8,0.611965812
2100,7,5.8,36.9,0.627722772
1642,6,6.2,62.1,0.76984127
1385,6,6,74.8,0.767619048
1111,4,6.2,78.8,0.728215768
2187,4,8.4,28.5,0.51965812
1798,4,7.4,49,0.646825397
797,6,6.4,63.2,0.634285714
729,6,5.8,64.9,0.521367521
897,6,10.3,66,0.565811966
1601,7,5.7,82.3,0.662857143
1465,7,5.2,67.4,0.817427386
93,6,11.2,30.4,0.575396825
878,2,8.3,76,0.631393298
494,1,4.9,26.3,0.601410935
1607,1,5.6,81.1,0.733333333
1419,2,8.6,65.4,0.656410256
356,6,7.4,26.3,0.582010582
1838,1,12.4,53,0.668430335
1160,7,8.6,77.7,0.684303351
919,7,7.5,60.9,0.738589212
375,3,10.4,26.6,0.499145299
2097,3,11.9,45.1,0.564102564
1195,4,8.5,79.2,0.860995851
1989,6,12.3,39,0.531623932
633,4,7.1,54.8,0.572649573
1182,1,4.7,83,0.77029703
485,3,14.1,32.3,0.63047619
570,4,7.1,32.3,0.651485149
1578,4,6.6,78.1,0.778217822
1236,3,5.5,79.1,0.782178218
2060,3,9,33.9,0.649029982
1575,7,3.2,62.4,0.608547009
515,1,7.4,50,0.697142857
583,7,7.3,59.4,0.699170124
1739,2,9.9,57.4,0.632380952
1941,5,10.5,38.2,0.576068376
97,5,10.8,18.3,0.636684303
1186,7,10.2,73.9,0.676587302
2001,1,10.1,42.1,0.569230769
472,7,9.4,38.8,0.617063492
1005,3,4,63.5,0.617094017
1799,5,13.6,45.3,0.752380952
960,6,4.6,66.5,0.700990099
1436,4,7.3,72.4,0.670194004
382,6,8,34.6,0.579365079
393,6,10.6,34.1,0.557264957
1854,1,10.3,48.3,0.691089109
1035,1,8.7,78.3,0.646153846
991,5,10.6,66,0.79253112
615,1,10.5,63.3,0.625641026
1792,3,9.9,48.3,0.617063492
1835,4,4.9,47.6,0.638095238
451,6,10.3,35.5,0.659751037
2069,1,6.5,31.5,0.697142857
582,6,8.7,29.2,0.6
895,3,7.1,60,0.755186722
1926,6,5.8,34.8,0.586138614
1626,5,6.8,58.2,0.714851485
1858,7,3.5,58.3,0.66468254
1003,7,5.7,59.9,0.670124481
1073,3,10.6,69.8,0.695238095
738,4,6.4,65.4,0.708910891
2021,7,3.6,44.6,0.596190476
317,4,12.7,34.6,0.675247525
1916,7,6.4,30.2,0.552028219
1247,4,8.1,78.6,0.681904762
737,3,6,48.1,0.664761905
2182,5,10.9,30.9,0.686507937
1973,6,10.4,48.8,0.660952381
650,6,8.4,47.3,0.590828924
1509,3,6.2,72.4,0.557264957
166,6,11.8,27.7,0.68952381
618,5,9.5,45.8,0.702970297
39,4,6.3,38.6,0.676587302
917,5,5.4,71.9,0.779047619
922,5,5.3,72.7,0.740079365
264,3,16.7,20.6,0.639004149
1886,2,12.5,50.5,0.532627866
1507,7,8.2,66.1,0.744813278
160,5,11.7,29,0.653333333
2167,5,8.6,38.3,0.690871369
1396,7,8.9,68.5,0.746031746
1216,5,7.7,81.1,0.75
2117,2,11.1,44.2,0.704761905
1621,5,8.5,64.7,0.630705394
1023,6,5.9,67.4,0.656410256
599,1,14.3,68,0.601904762
1664,7,9.9,48,0.576719577
1782,3,3.2,44.3,0.734653465
1361,2,6.6,76.5,0.708571429
18,4,9.8,30.8,0.753112033
1524,2,3.4,67.5,0.663366337
2183,6,11.2,10.5,0.558095238
2070,2,7,30.5,0.60990099
48,2,11.9,42.8,0.682572614
1307,7,6.1,71.9,0.773333333
442,2,7.4,52.1,0.726190476
2172,5,15.6,43.2,0.685148515
1353,5,8.3,79.4,0.623931624
110,1,4.5,34,0.570940171
883,1,6.7,62.7,0.746887967
1203,1,5.8,77.6,0.697435897
989,3,7.4,77.7,0.72952381
694,2,11.8,54.5,0.636904762
547,1,9.6,36.5,0.782157676
533,4,12.2,44.1,0.615238095
2024,4,6.7,31.5,0.592592593
814,1,10.2,57.1,0.759920635
1339,7,6.8,75.7,0.794605809
2184,7,10.6,27,0.637623762
657,1,14.1,50.8,0.61025641
480,3,13,34.3,0.60990099
1430,3,5.7,75.1,0.659611993
454,4,14.1,50,0.64484127
1636,5,12.5,63.3,0.694444444
1393,2,4.6,75.9,0.686721992
1695,6,5,55.6,0.58974359
1809,4,15.2,42.2,0.533333333
1761,3,10.1,66.2,0.658119658
1850,3,8.1,49.5,0.671957672
1258,5,5.9,75.3,0.724206349
2046,5,7.3,21.5,0.62970297
635,7,12,67.8,0.626666667
930,1,9.6,68,0.730693069
1555,1,5.1,72.2,0.817427386
1818,2,7.1,53.5,0.691089109
468,1,11.8,41.5,0.625742574
1808,3,9.5,48.5,0.675485009
613,5,14.9,50.6,0.699170124
1346,3,6.9,69.9,0.733686067
1878,5,7.7,35,0.657425743
1427,6,5.7,68.6,0.647619048
1570,1,7.6,74.9,0.662698413
1323,7,4.3,74.6,0.553846154
745,6,6.6,50.9,0.657676349
1719,3,6.6,54.4,0.641025641
604,1,9.7,49.3,0.626984127
642,2,10.7,35,0.671287129
1438,7,5.2,78.5,0.757936508
322,4,11.5,51.6,0.603809524
573,1,6.3,55,0.560683761
837,3,9.1,46.2,0.635897436
1948,1,4.5,32,0.636904762
870,5,6.6,78.5,0.772277228
1648,7,6,61.9,0.589285714
1769,7,12.5,66,0.628571429
543,3,8.5,55.9,0.753846154
492,5,7.8,36.7,0.702970297
1943,1,11.8,39.2,0.653333333
1359,6,6.2,78,0.617094017
2093,5,9.1,26.8,0.643809524
298,7,2.2,51.4,0.64
744,5,14.7,67.9,0.772277228
871,6,10.2,76.4,0.794605809
1299,3,5.1,75.6,0.618803419
1287,1,9.5,77.8,0.629059829
932,4,7.2,64.9,0.698412698
2019,4,8.4,34.2,0.574358974
1047,3,5,72.3,0.594871795
1078,3,6.8,67.9,0.78968254
1292,1,6.8,77.5,0.693121693
2055,3,7.8,48.2,0.517948718
365,4,10,32.4,0.540952381
1688,4,6.3,56.6,0.555555556
677,7,4,54.9,0.647619048
1045,7,8.9,74.2,0.738589212
1314,2,3.9,76.5,0.699009901
1606,7,7.4,74,0.761904762
363,1,6.6,23.8,0.535042735
1731,5,8.8,51.1,0.523076923
1290,5,4.9,77.1,0.851485149
1718,2,8.3,64.7,0.633156966
1001,5,9.4,77.8,0.712380952
1467,3,7.6,82.2,0.620512821
691,4,3.5,57.7,0.721991701
784,3,5.4,60.4,0.759920635
1803,3,11.9,53.8,0.555555556
1464,6,9.3,76.9,0.805940594
1344,7,5.4,79.9,0.811881188
802,6,12.5,47.7,0.662698413
1330,3,4.2,83.1,0.658730159
1089,3,7.7,62.6,0.733333333
1337,5,8.5,74,0.651428571
210,1,9.5,47.3,0.705394191
42,1,15.5,45.6,0.639004149
1940,4,13.7,24.6,0.552028219
637,2,9.4,57.8,0.647302905
190,3,10.1,35.9,0.773333333
309,7,9.3,41.5,0.589285714
700,3,14.1,46.4,0.648809524
1802,2,13.7,61.7,0.675485009
1710,5,6.9,40.2,0.592079208
51,6,6.2,40.5,0.619047619
1663,5,9.6,54.1,0.682572614
412,4,7.9,50.1,0.623015873
548,3,9,41.8,0.668430335
765,5,7.8,73.9,0.652991453
1336,4,8.6,84.6,0.791666667
1801,7,12.2,50.3,0.657676349
1255,7,10.1,81.5,0.769709544
812,5,8.9,42.9,0.712522046
1836,5,8.9,45.2,0.734653465
1122,5,11.1,74.8,0.752475248
1061,1,10.5,64.7,0.68952381
639,5,3.8,62.4,0.632478632
1673,5,5.7,65.2,0.624761905
1506,6,15.4,67.1,0.621782178
1725,4,9.5,57.3,0.67008547
236,1,13.4,29.3,0.488888889
1582,3,7.5,73.1,0.688492063
1747,5,4.8,49.2,0.67219917
1882,4,10.8,51.3,0.619047619
1770,1,6.7,47.8,0.655445545
869,4,10.4,58.3,0.725714286
772,1,9.2,57.2,0.746031746
2006,1,11.5,25.3,0.710758377
1050,7,6.3,73.7,0.805940594
1554,7,6.8,74.9,0.691089109
2176,4,13.4,35,0.626984127
179,2,6.8,22.2,0.588118812
326,2,12.6,13.9,0.557264957
619,6,11.2,44.3,0.657676349
1657,4,8.2,63.1,0.711618257
1821,6,8.8,48.8,0.547008547
2157,6,9.6,41.6,0.514529915
1546,4,7.4,70.8,0.716269841
