,day,wdsp,temp,total_num_of_crimes
173,1,13.2,28.4,0.617821782
1820,5,17.2,43,0.716049383
551,7,6.2,50.3,0.580952381
1080,5,8.4,83.5,0.700990099
851,1,12.1,59.1,0.718095238
1500,5,9.7,68.9,0.665346535
1659,7,13,53.4,0.492307692
1146,2,8.5,82.2,0.758415842
1711,6,14.2,44.2,0.711618257
546,7,8.8,33.8,0.673267327
746,1,11.7,50.9,0.758377425
544,5,8.1,45.1,0.797619048
1263,4,9.5,80,0.656410256
1459,6,8.2,68.3,0.701244813
1744,2,14.2,74.3,0.746031746
153,2,14.3,33.5,0.591269841
1954,2,4.9,35.5,0.648809524
435,6,8.2,52.5,0.582905983
1924,4,9.8,58.2,0.736111111
937,3,8.7,75.5,0.755186722
974,4,7.1,69.6,0.694885362
488,7,9.8,27.3,0.537918871
1518,1,9.3,66.6,0.683168317
621,2,5.1,58.2,0.658119658
345,6,10.6,38.1,0.583333333
1482,2,7.5,79.9,0.76039604
1484,5,11.4,81.1,0.687830688
142,2,6.6,38.4,0.685714286
1098,1,6.4,77.2,0.835643564
1000,4,10,75.2,0.78968254
1446,3,7.6,72.2,0.669306931
12,3,6.7,29.5,0.630705394
1129,7,11.8,72,0.744813278
900,3,7.8,77.5,0.792079208
748,4,12.6,49.5,0.615079365
1364,6,7.1,72.6,0.643738977
152,1,7.3,25.9,0.572649573
1063,3,6.3,79.3,0.809128631
1933,1,5.4,37.9,0.676348548
1604,4,3.3,66.8,0.634920635
1735,3,13.8,49.5,0.751037344
52,1,10.4,23.1,0.56952381
508,6,6.5,42.7,0.640873016
2140,5,6.1,32.2,0.662698413
1521,5,7.2,63.4,0.553846154
207,4,10,28.1,0.650793651
1267,2,6.3,73.3,0.778008299
1365,7,7.1,80.7,0.71965812
2134,4,8.5,35.6,0.609126984
774,3,11.3,71.1,0.756435644
1087,7,5.7,78.4,0.713692946
1472,3,5,75.8,0.627865961
564,3,14.6,32.8,0.63960396
1072,2,10.4,69.3,0.722222222
874,4,8.6,73.2,0.732142857
1623,1,5.2,72.4,0.611965812
811,3,3.1,63.6,0.778008299
1670,1,9,55,0.571428571
208,6,10.7,24.1,0.552380952
678,1,9.1,51.9,0.63960396
1334,1,7,75.1,0.701940035
1036,3,6.5,73.3,0.755952381
1439,1,4.6,70.6,0.6
750,6,7.1,70.7,0.774257426
1892,3,12.5,31.5,0.532627866
1020,2,6.6,73.3,0.716831683
1707,1,12.6,68.2,0.582905983
361,5,4.9,28.6,0.705394191
1068,3,7.4,73.3,0.768316832
175,4,15.3,24,0.60670194
512,4,13.9,39.7,0.597883598
2086,3,10.7,11.7,0.557539683
727,3,9.1,52.9,0.807053942
455,5,8,39,0.613333333
436,1,4.7,46.3,0.66468254
1843,7,8,40.4,0.742738589
466,6,7.3,39.5,0.595238095
1110,3,6.9,83.9,0.740594059
1245,1,6.8,80.3,0.668376068
1265,7,4.9,73.5,0.708571429
1033,5,5.1,63,0.765560166
1304,3,5.8,72.9,0.670194004
1716,6,7.3,41.6,0.63960396
1689,5,10.9,62,0.6
708,6,13.4,43.9,0.669306931
1921,6,5,34.7,0.636929461
1723,1,7.4,46.5,0.699170124
432,2,9.2,31.8,0.60990099
855,6,6.7,65.7,0.647863248
902,6,7,72.9,0.638447972
1017,5,10.7,63.1,0.625641026
1127,5,9.1,81.5,0.683809524
1018,7,6.7,80.4,0.714285714
1847,6,8.3,46,0.678095238
847,2,10.2,49.5,0.721991701
749,5,15.1,49,0.691428571
1093,1,6.9,79.2,0.919087137
626,2,10.3,31.8,0.597883598
1457,4,11.1,70.1,0.615238095
218,5,9.4,20.2,0.535042735
743,4,11.9,48.9,0.638095238
1420,4,6.6,77.9,0.765873016
484,2,11.9,52.1,0.718253968
1496,7,3.9,69.3,0.670194004
536,1,11.7,53.7,0.590828924
850,7,5.4,67.2,0.668650794
1780,1,8.4,54.3,0.712301587
720,1,9.5,57.9,0.774257426
1519,2,10,79.4,0.701244813
2103,4,14.7,34.9,0.588034188
1117,5,6.4,82.8,0.877593361
1288,3,4.2,81.8,0.763888889
121,2,13.6,12.2,0.502645503
301,4,6.5,37,0.590828924
1399,3,5.5,74,0.697095436
719,7,15,45.2,0.6
1422,6,9.1,72.9,0.76039604
2112,2,4.5,30.5,0.615841584
1350,1,4,77.9,0.78019802
1311,5,7.5,76.4,0.700854701
569,3,12.7,44.9,0.603809524
940,1,10.2,73,0.706349206
866,7,3.5,68,0.634920635
755,6,12.3,50.5,0.634285714
1904,5,7.5,27.9,0.624338624
644,5,6.6,49,0.661375661
2004,5,3.4,36.2,0.689108911
1629,2,9.3,67.6,0.576068376
796,5,9.8,59.3,0.692460317
1076,7,11,78.7,0.693121693
1988,5,7.5,25.2,0.499118166
1220,3,14.5,73.4,0.71957672
687,6,13.1,45.9,0.567521368
489,1,11.5,31.4,0.487179487
403,5,5.2,29.4,0.670124481
2128,3,7.5,28.1,0.668650794
1696,1,5.6,59.8,0.692460317
1332,5,6.3,77.8,0.803960396
1458,5,5.9,72.4,0.720792079
1513,1,5.7,67.5,0.742738589
352,2,11.4,52,0.571428571
1995,7,6.9,36.8,0.487179487
501,3,11,40.7,0.553846154
612,4,10.6,59.5,0.702970297
1019,1,8.1,70.7,0.678095238
1504,4,9.4,77.3,0.777777778
2105,7,3.3,38.8,0.622857143
2179,7,10.7,54.3,0.701244813
1862,5,8.4,41.1,0.668430335
1759,7,5.6,56.7,0.690871369
395,2,18.8,54.5,0.594285714
731,2,14.9,46.1,0.56952381
714,7,5.8,44.5,0.637623762
1881,2,3.5,48.9,0.531623932
1861,3,8.4,40.9,0.626556017
513,5,12.1,30.8,0.601709402
1308,1,7.1,79.3,0.762376238
1992,3,5.4,22.1,0.663366337
1644,1,7.1,62.5,0.831683168
1071,7,5,70,0.545299145
918,6,8.7,60.9,0.736633663
1320,3,4.2,74.6,0.706930693
913,6,8.6,71.4,0.771784232
998,1,6.9,80.1,0.758377425
985,4,13.9,59,0.676348548
438,3,9.9,31.7,0.598019802
2036,6,11,39,0.567901235
1895,7,3.5,39,0.573333333
2058,7,2.7,25.1,0.655445545
1067,2,6,65.3,0.746666667
1434,1,13.8,86.2,0.77029703
1199,3,6.8,80.5,0.704761905
585,3,7.6,47.2,0.603418803
592,6,12.2,31.1,0.597222222
1373,4,12.4,78.3,0.687619048
75,3,8.2,9,0.621031746
674,3,9.1,43,0.633156966
1660,2,7,66.7,0.652777778
1531,4,6.3,74.2,0.825726141
122,3,7.2,34.2,0.6
1059,5,7.9,66.3,0.594871795
240,6,6.5,13.5,0.690871369
94,1,4.8,34.3,0.573333333
1412,7,5.8,78.3,0.634920635
2148,1,9.8,30.3,0.588118812
1480,7,6.7,72.2,0.702380952
104,7,10.9,38.7,0.548717949
575,4,18.7,42.9,0.605714286
773,2,5.8,48.3,0.643809524
1190,5,6,72.1,0.71957672
339,5,10.1,32.7,0.674603175
1511,6,8.9,64.5,0.60952381
15,7,10.9,28.8,0.569444444
596,4,11.8,57.6,0.682539683
1488,3,10.1,83.1,0.643564356
1573,4,5.8,74.3,0.819502075
1533,7,6.8,60.3,0.615384615
1778,5,5.1,59.1,0.693121693
845,7,9.8,62.1,0.63047619
1453,5,7,70.8,0.680497925
1006,5,9.1,72.5,0.718253968
2030,5,4.7,36.6,0.686067019
1468,5,9.1,69.8,0.753968254
1824,3,7.5,55,0.869306931
71,5,16.8,24.3,0.63960396
1257,3,8,83.3,0.601709402
259,4,6.8,22.2,0.507936508
2079,7,8,59.7,0.502564103
1475,7,6.3,68.4,0.657142857
1144,7,4.7,74.2,0.692460317
1431,4,3.8,65.5,0.630769231
383,7,12.1,42.4,0.575238095
258,2,11.1,31.6,0.697095436
316,3,8.2,57.9,0.615238095
526,2,3.7,45.9,0.726190476
1108,1,6.1,71.9,0.777777778
1060,7,8.7,82.8,0.678571429
1551,3,8.6,73.5,0.629059829
1081,6,5.7,80.4,0.834024896
1762,5,11.5,49.5,0.706349206
1729,2,8,52.3,0.736514523
2085,1,14.6,56.5,0.593162393
419,6,8.2,24,0.542857143
692,6,10.6,51.9,0.62962963
1443,6,5.6,70.8,0.611965812
2034,3,9.1,28.3,0.699009901
171,5,9,30.5,0.634920635
805,2,4,55.7,0.773858921
1101,5,6.3,68,0.656410256
823,5,9.2,57.5,0.771784232
1712,1,7,62.9,0.590828924
295,3,7.7,38.2,0.596119929
1437,5,4.9,68.8,0.611965812
1952,6,10.1,40,0.571428571
1341,3,4.4,72.7,0.635897436
1516,6,7.8,70.3,0.662698413
1512,7,15.3,65,0.596039604
68,1,8.7,26.3,0.526495726
1949,2,13.3,42.1,0.651428571
1935,4,15.8,46,0.535042735
165,4,13.4,35.7,0.678571429
265,5,10.4,20.4,0.587301587
1091,6,8.8,76.3,0.80952381
1690,7,6.2,56.7,0.601190476
1276,1,6.1,76.5,0.827380952
1899,5,16.4,43.3,0.502564103
783,1,9.4,59.9,0.625641026
1871,3,4.6,37.8,0.695238095
1354,7,4.7,78.4,0.748015873
834,6,5.1,61.1,0.637623762
123,4,2.7,21.3,0.617063492
58,2,17.9,39.8,0.685714286
804,1,8.3,63.8,0.798019802
1094,3,9.3,69.2,0.705467372
1728,1,10.5,44.5,0.627722772
1205,4,8,77.3,0.67047619
1538,7,4.6,56.1,0.610229277
2081,3,11.3,27.9,0.586666667
996,5,6.7,76.6,0.754455446
790,4,8.4,63.4,0.650793651
1929,3,17,60.1,0.562393162
1915,5,6,28.5,0.717842324
605,2,7.8,47.7,0.67047619
1249,6,11.8,80.2,0.765560166
13,5,8.7,7.2,0.48324515
53,2,6,30.5,0.633663366
518,5,13.7,43.5,0.633156966
1204,3,5.8,80.7,0.779761905
1853,7,2.9,51.5,0.632380952
1848,7,13.3,49,0.59009901
1756,4,10.2,57,0.686507937
1256,2,6.2,69.3,0.687830688
2121,7,10.9,37.8,0.552136752
1651,3,8.6,68.3,0.709543568
402,4,10,28.8,0.592079208
782,7,7.7,71.2,0.652557319
2035,4,5.3,36.8,0.670124481
2047,6,5.8,32,0.630705394
445,5,15.7,38.6,0.699170124
217,4,8.7,7.3,0.553791887
2087,4,10.7,25.2,0.622857143
303,6,11.8,51.2,0.567460317
509,7,7.4,53.1,0.64952381
1054,6,7.2,79.5,0.726190476
1370,7,6.9,71.7,0.633156966
915,2,4.6,58,0.608547009
1096,6,4.7,67.9,0.688492063
1815,5,4.5,46.9,0.622222222
799,1,7.8,50.4,0.782157676
1833,1,8.9,60.3,0.687179487
844,6,8.4,64.5,0.746031746
1124,1,10.7,81.5,0.776014109
529,5,7,47.5,0.624481328
226,2,6.8,46,0.617142857
950,7,13.9,65.3,0.610229277
1927,7,6.2,34.2,0.68879668
1979,7,6.6,38.9,0.592380952
1558,6,8.8,74.8,0.755952381
1244,7,10.3,79.2,0.735449735
735,7,8.5,70.1,0.593162393
1827,7,10.9,54.7,0.709401709
1158,4,7.7,79.3,0.746534653
351,7,14.4,52.2,0.571428571
1515,4,4.5,66.6,0.548717949
286,5,6.9,46.4,0.76
1559,7,7.1,78.4,0.683809524
1945,3,4.2,42.5,0.730290456
736,2,5.4,55,0.700396825
574,3,10.6,46.3,0.581349206
92,5,6,29.3,0.581196581
965,6,12.3,76.1,0.68
1305,4,7.9,76.2,0.683760684
463,1,6.1,36.1,0.67219917
1445,2,4.1,70,0.676190476
1232,5,7.6,68.3,0.765432099
49,4,3.4,11.4,0.509700176
739,5,10.4,48.6,0.751037344
2054,2,11.4,37.4,0.552028219
98,6,12.1,36.8,0.591452991
1123,6,8,80.1,0.821576763
1600,6,9.3,70.8,0.775793651
1609,3,11.8,70.8,0.670124481
1149,6,3.7,73.7,0.618803419
1026,3,6.3,70.4,0.930693069
1592,2,5.1,61.8,0.689594356
1086,6,9.9,87.3,0.801980198
535,6,11.3,40.2,0.645228216
2158,1,14.4,47.4,0.579365079
794,2,10.4,67.2,0.64021164
490,3,11,45.7,0.652777778
707,5,5.4,49.6,0.700952381
945,7,9.3,68.2,0.547008547
1561,2,6.9,70.3,0.755186722
289,2,10.2,32.2,0.527336861
602,5,4.5,55.4,0.60670194
963,3,11.5,81.7,0.652991453
1207,6,12.9,86,0.765560166
988,2,7.3,77.2,0.755952381
1369,5,7.4,73.2,0.711618257
359,3,10.5,47.3,0.664761905
829,6,7.8,58,0.77593361
928,6,7.2,72.1,0.71031746
1919,4,10.4,36.2,0.601904762
1730,4,7.6,55.4,0.608465608
2015,6,4.9,44.2,0.659047619
1142,4,4.6,71.3,0.698412698
652,2,8.7,55.9,0.66468254
863,3,9.6,57,0.681904762
1963,6,4.8,32.4,0.67219917
1589,5,6,85.2,0.712380952
1889,6,7.9,30.1,0.607619048
1478,4,10.9,77.6,0.613756614
446,7,17.7,24.9,0.51675485
1738,1,12.6,73.6,0.742063492
1912,2,3,48.2,0.628968254
493,6,3.6,37.9,0.692946058
183,7,7.6,44.6,0.613095238
1312,7,5.1,75.6,0.773809524
1900,7,8.9,45.7,0.571428571
1382,2,10.1,78.3,0.64021164
1706,7,7.8,53.9,0.574955908
1614,3,9.3,61.5,0.693069307
2063,7,9,26.9,0.556190476
1638,7,6.8,59.3,0.63960396
405,1,4.7,40,0.6
2123,3,8,35.1,0.681904762
1564,7,3.6,72,0.670634921
2017,1,11.7,33.3,0.661825726
1911,7,8.3,54.1,0.555555556
321,2,6.1,37.9,0.597222222
653,3,8.1,64.5,0.71047619
280,4,6.7,35.1,0.552380952
1452,4,7.5,68.5,0.786138614
1345,1,4.4,77.3,0.703319502
1099,2,8.1,84.9,0.715767635
2039,3,13.8,31.7,0.615238095
2011,7,9.1,40.5,0.686721992
1479,5,6.1,76.9,0.64957265
449,4,6.3,29.8,0.59047619
711,3,5.2,52.3,0.615384615
1331,4,7.7,75.6,0.67047619
1758,6,14.5,47.4,0.695049505
1971,3,9.3,44.7,0.500854701
1724,3,8.4,54.9,0.679012346
2005,6,11.3,38.5,0.622406639
824,7,7.7,58.1,0.721340388
192,5,4.3,9.2,0.773858921
470,4,9.3,37.3,0.700176367
413,5,12.1,31.8,0.588571429
1887,3,8.1,51.7,0.52991453
1517,7,6.9,62.5,0.643809524
1130,2,11.2,78.9,0.708994709
1962,5,10.1,40.8,0.673267327
502,5,8.5,35.8,0.670634921
1309,2,7.5,77.1,0.746887967
1748,7,6.1,45.9,0.615520282
760,6,12.2,65.1,0.682539683
1161,1,9.1,78,0.687179487
634,6,6,61,0.654761905
1384,5,7.2,76.6,0.704365079
1528,1,7.4,70.7,0.767857143
540,6,11.5,46,0.63960396
763,2,10.9,47.4,0.692946058
1675,7,8.3,60.3,0.647302905
984,3,7,75.1,0.742574257
982,1,5.7,71.1,0.742063492
2136,6,7.2,31.3,0.63960396
244,5,12.1,26.7,0.664761905
753,3,5.4,60.1,0.579487179
2059,1,9.1,47.2,0.639004149
971,7,13.8,82.1,0.68952381
1499,4,7.7,60.6,0.666666667
1388,3,6.7,78.2,0.717813051
1865,2,10.3,43.4,0.588571429
2138,2,10.8,46.5,0.546737213
1631,5,9.6,64.3,0.687619048
1231,3,5,71.7,0.736514523
1968,6,10,45.4,0.59009901
545,6,5.6,44.2,0.723809524
407,4,8.5,39.3,0.580952381
1037,4,10.1,79.3,0.727619048
1727,7,12.9,60.9,0.563809524
1875,1,3.4,46.1,0.564102564
627,3,9.6,56,0.647863248
757,1,7,60.7,0.821576763
423,4,6.5,44.9,0.623931624
148,3,9.9,38.9,0.664761905
514,7,7.2,50.2,0.593253968
1097,7,7.4,75.4,0.683809524
1796,1,10.1,64.2,0.626102293
1322,6,9.1,75.3,0.687830688
840,7,9.1,51.5,0.697029703
854,5,4.8,60.1,0.670194004
357,7,5.1,22,0.593162393
2012,2,8.7,27.8,0.564373898
527,3,9.9,42.3,0.626666667
1620,4,6.1,59,0.601980198
2022,1,12,34.8,0.762376238
1844,2,14.8,56.1,0.636684303
717,4,12.1,48,0.548717949
50,5,15,10.3,0.488888889
1279,4,5.5,71,0.883817427
1873,5,7.6,24.6,0.649377593
2107,2,10.2,26.6,0.653526971
1451,3,4.4,70.3,0.699047619
1239,7,4.7,77.4,0.682051282
686,5,11,57.9,0.701940035
1610,5,3.9,69.1,0.723104056
1852,6,6.2,56.1,0.670634921
896,5,7,67.4,0.675485009
704,1,14.5,52.2,0.636684303
1298,2,5.3,73.2,0.633156966
1362,3,6,80.2,0.827722772
1777,3,9,49.2,0.68879668
477,6,11.4,43,0.521367521
877,7,6.2,70.9,0.767634855
2078,6,7.5,41.5,0.641975309
1152,3,6.7,78.3,0.732673267
1148,5,5.3,73.5,0.761904762
1884,6,12.5,25.3,0.6
558,2,9.5,40.2,0.584158416
1355,1,4.8,74,0.699047619
1539,1,9.3,67.4,0.6
76,5,8.8,22.9,0.681904762
1652,5,12,61.9,0.590828924
1978,6,6.3,40,0.638888889
1126,4,6.1,78.4,0.738095238
1301,6,7.2,67.7,0.84
1145,1,8.4,78.2,0.697142857
832,4,4.2,57.5,0.706349206
958,4,6.4,63.9,0.740079365
507,4,8.1,39.7,0.555555556
1218,7,11.9,71.6,0.778217822
1612,1,12.7,67.8,0.724206349
256,7,14.3,41.3,0.571428571
617,4,8.3,50.9,0.615238095
669,3,12.7,42.2,0.51965812
2090,1,10.1,47,0.596119929
670,5,10.5,52.2,0.712301587
1077,1,4.4,70.6,0.617094017
1768,6,6.2,48,0.64484127
1510,5,4.3,75.2,0.71031746
141,7,7.5,29.1,0.623015873
2049,2,9.4,41.9,0.576068376
2116,1,8.1,2.2,0.571428571
1955,3,8,29.2,0.561904762
1552,5,9.6,74.1,0.732142857
147,1,7.2,34.3,0.686507937
1242,4,8.9,77.5,0.724752475
1456,3,8.8,74.6,0.738095238
163,2,9.2,-4.5,0.48324515
1223,7,5.2,80.3,0.739047619
1896,1,6.5,34.5,0.611881188
2009,5,4.6,42.2,0.792380952
1630,4,13.7,62.7,0.630952381
2042,7,7.3,34.9,0.537918871
161,6,13.8,48.5,0.621782178
1845,3,5.2,60.3,0.673504274
710,2,9.8,56,0.684303351
632,3,10.2,39.6,0.67372134
1541,4,3.9,67.9,0.632380952
241,1,6.7,6.9,0.490299824
831,2,10.5,51.4,0.61025641
1113,7,3.5,76,0.717948718
471,5,7.8,44,0.629059829
766,7,4,57.2,0.68452381
1273,3,8.5,70.3,0.709543568
1918,3,2.9,49.6,0.720238095
616,3,7.3,44.7,0.658730159
516,2,10.4,49.9,0.64950495
1213,7,9.1,75.7,0.757261411
664,4,6.4,62.8,0.642857143
1201,5,10.4,86.5,0.786307054
1997,3,6.8,44.3,0.664761905
1781,2,11,47.8,0.651428571
966,7,5.5,65.5,0.64950495
1542,5,4.6,70.6,0.75049505
1121,4,5.1,82.2,0.653333333
458,2,9.4,38.6,0.703703704
1280,6,4.9,73.6,0.777777778
758,3,9.3,63.8,0.656084656
2096,2,8,44.3,0.529100529
1645,2,8.2,79.7,0.875518672
810,2,8.2,64,0.708910891
979,3,9,69.5,0.736514523
1990,1,13.3,46.3,0.674603175
155,5,12.3,43.4,0.691089109
1530,3,5.4,68.5,0.647524752
1602,1,6.7,65.1,0.742574257
1116,4,6.7,80.3,0.776237624
1967,5,10,44.8,0.605714286
1857,5,14.1,55.8,0.642735043
1137,4,7.2,66.3,0.54017094
1379,5,10.3,75.1,0.76952381
636,1,13.2,31.3,0.669306931
1414,3,10.6,76.9,0.797619048
132,2,10.4,20.3,0.649377593
1691,1,3.2,67.5,0.693333333
398,6,10.4,32.9,0.566137566
1326,4,7.9,78.5,0.718811881
809,1,6.7,64.9,0.820952381
1188,2,7.3,77,0.685148515
108,5,7.9,31.5,0.678423237
820,2,8.4,55.4,0.698412698
55,5,7.2,31.7,0.50617284
1324,2,5.7,79.9,0.668650794
1772,4,6.4,50.3,0.596119929
2143,1,7.5,42.8,0.713692946
1085,5,6,73.7,0.685714286
399,7,6.7,37.1,0.488888889
21,1,10.5,28.5,0.615079365
693,7,10.7,47.1,0.606837607
1666,3,9.4,72.2,0.714285714
170,4,12.7,36.1,0.582905983
1184,4,3.9,68.1,0.657848325
1133,6,7.5,71.5,0.693333333
1177,1,10,82.3,0.771784232
893,1,10.6,70.1,0.723809524
994,3,9.6,80.6,0.738095238
1866,3,14.5,38.5,0.631683168
725,1,11.6,51.7,0.761904762
716,3,8.2,52,0.666666667
1492,2,9.3,83.8,0.765873016
224,6,7.2,33.6,0.502564103
967,1,10.3,68.3,0.765560166
1946,5,6.9,22.9,0.610229277
1598,3,5.3,65.5,0.717813051
624,6,16.9,40.4,0.586138614
2077,4,9.6,30.1,0.641078838
201,3,9.8,37.3,0.654761905
1708,3,10,63.8,0.674603175
198,6,8.6,26.6,0.643153527
199,1,3.5,11.4,0.557319224
1390,6,9.6,75.8,0.763888889
1235,2,7.3,73.1,0.725714286
890,4,8.5,65.3,0.608465608
1655,2,10.7,72.2,0.619047619
1715,5,6.2,62.1,0.676190476
948,4,6.4,73.8,0.78019802
684,2,6.3,55.8,0.643564356
510,1,10,41.4,0.691089109
2028,2,8.4,30.8,0.687128713
1491,7,6.9,82.8,0.627350427
2130,5,13.1,36.9,0.655445545
1397,1,7,79.5,0.662857143
1529,2,7.2,67,0.651428571
1605,5,7.1,69.6,0.65982906
532,3,11.2,51.4,0.71031746
665,5,12.6,50.6,0.72
1044,6,5.4,68.3,0.708910891
1402,1,3.5,69.6,0.716269841
74,2,9.1,19.3,0.548717949
133,4,13,4.4,0.541446208
1495,5,8.8,68.4,0.728215768
304,1,7.4,55.1,0.64
206,3,6.4,25.4,0.48034188
672,7,9.2,51,0.605940594
898,1,6.1,75.9,0.751984127
447,1,11.7,61.3,0.637606838
992,7,12.7,75.1,0.728395062
342,2,9.4,21.5,0.628630705
1031,3,5.8,68.5,0.72952381
1155,7,5.9,75,0.622222222
801,4,8.7,55.3,0.641025641
1548,6,5.1,70.3,0.742574257
1387,1,3.6,77.8,0.81120332
1372,3,6.4,79.1,0.833333333
263,2,5.7,24.5,0.615841584
2010,6,11.6,38.5,0.722772277
1237,4,4.7,74.3,0.786307054
279,2,3.6,29.2,0.569444444
1822,1,6.9,50.4,0.833333333
1694,5,4.4,52.2,0.624338624
969,4,6.2,72.1,0.694017094
1508,2,6.6,73.1,0.633156966
1692,2,8,77.3,0.710891089
266,6,15.9,21.1,0.47008547
1042,4,7.6,72.3,0.734126984
1327,5,5.2,73.8,0.757261411
1219,1,12.2,71.9,0.744813278
1296,6,7.9,83.2,0.906930693
910,3,6,69.9,0.882936508
1931,6,12.2,43.7,0.611428571
262,1,8.6,36.1,0.638095238
1594,5,6.5,74,0.712301587
1408,2,8.5,73.6,0.712301587
1278,3,5.8,73.7,0.869306931
495,2,9.1,32.4,0.548717949
1650,2,5.6,64.1,0.625742574
169,3,8.9,8.3,0.603174603
380,3,10.4,22.2,0.57319224
1157,3,8.2,77.3,0.60952381
949,5,7.9,67.3,0.831950207
1066,1,8.8,81.9,0.746031746
2088,5,6.4,40.6,0.689108911
